CLONO_JPL06.abs
Air:  
Temp: 
Angstroms       XS
2.350000E+03    2.150000E-18
2.400000E+03    1.760000E-18
2.450000E+03    1.320000E-18
2.500000E+03    1.060000E-18
2.550000E+03    6.500000E-19
2.600000E+03    6.460000E-19
2.650000E+03    6.930000E-19
2.700000E+03    9.030000E-19
2.750000E+03    1.100000E-18
2.800000E+03    1.320000E-18
2.850000E+03    1.440000E-18
2.900000E+03    1.440000E-18
2.950000E+03    1.420000E-18
3.000000E+03    1.290000E-18
3.050000E+03    1.140000E-18
3.100000E+03    1.050000E-18
3.150000E+03    9.810000E-19
3.200000E+03    8.030000E-19
3.250000E+03    7.540000E-19
3.300000E+03    5.870000E-19
3.350000E+03    5.770000E-19
3.400000E+03    4.370000E-19
3.450000E+03    3.570000E-19
3.500000E+03    2.690000E-19
3.550000E+03    2.290000E-19
3.600000E+03    1.610000E-19
3.650000E+03    1.130000E-19
3.700000E+03    9.000000E-20
3.750000E+03    6.900000E-20
3.800000E+03    4.100000E-20
3.850000E+03    3.300000E-20
3.900000E+03    2.200000E-20
3.950000E+03    1.500000E-20
4.000000E+03    6.000000E-21
