CLOO_JPL06.abs
Air:  
Temp: 
Angstroms       XS
2.200000E+03    6.110000E-18
2.220000E+03    6.700000E-18
2.240000E+03    7.470000E-18
2.260000E+03    9.510000E-18
2.280000E+03    1.100000E-17
2.300000E+03    1.400000E-17
2.320000E+03    1.650000E-17
2.340000E+03    1.960000E-17
2.360000E+03    2.240000E-17
2.380000E+03    2.520000E-17
2.400000E+03    2.730000E-17
2.420000E+03    2.910000E-17
2.440000E+03    2.960000E-17
2.460000E+03    2.980000E-17
2.480000E+03    2.950000E-17
2.500000E+03    2.800000E-17
2.520000E+03    2.630000E-17
2.540000E+03    2.370000E-17
2.560000E+03    2.120000E-17
2.580000E+03    1.890000E-17
2.600000E+03    1.610000E-17
2.620000E+03    1.370000E-17
2.640000E+03    1.120000E-17
2.660000E+03    9.050000E-18
2.680000E+03    7.250000E-18
2.700000E+03    5.960000E-18
2.720000E+03    4.350000E-18
2.740000E+03    3.440000E-18
2.760000E+03    2.820000E-18
2.780000E+03    2.100000E-18
2.800000E+03    2.000000E-18
