CO2
Air:  
Temp:           100K            300K       
Angstroms       XS
1.000000E+01    5.083150E-19    5.083150E-19
2.000000E+01    7.935550E-19    7.935550E-19
3.000000E+01    9.269030E-19    9.269030E-19
4.000000E+01    7.591020E-19    7.591020E-19
5.000000E+01    6.065530E-19    6.065530E-19
6.000000E+01    9.935290E-19    9.935290E-19
7.000000E+01    1.405050E-18    1.405050E-18
8.000000E+01    1.809540E-18    1.809540E-18
9.000000E+01    2.295700E-18    2.295700E-18
1.000000E+02    2.867260E-18    2.867260E-18
1.100000E+02    3.514280E-18    3.514280E-18
1.200000E+02    4.333000E-18    4.333000E-18
1.300000E+02    5.122080E-18    5.122080E-18
1.400000E+02    5.909290E-18    5.909290E-18
1.500000E+02    6.712720E-18    6.712720E-18
1.600000E+02    7.607090E-18    7.607090E-18
1.700000E+02    8.564170E-18    8.564170E-18
1.800000E+02    9.604430E-18    9.604430E-18
1.900000E+02    1.081570E-17    1.081570E-17
2.000000E+02    1.218720E-17    1.218720E-17
2.100000E+02    1.347340E-17    1.347340E-17
2.200000E+02    1.447160E-17    1.447160E-17
2.300000E+02    1.504280E-17    1.504280E-17
2.400000E+02    1.536840E-17    1.536840E-17
2.500000E+02    1.568960E-17    1.568960E-17
2.600000E+02    1.619400E-17    1.619400E-17
2.700000E+02    1.699880E-17    1.699880E-17
2.800000E+02    1.802030E-17    1.802030E-17
2.900000E+02    1.931040E-17    1.931040E-17
3.000000E+02    2.075010E-17    2.075010E-17
3.100000E+02    2.221110E-17    2.221110E-17
3.200000E+02    2.346550E-17    2.346550E-17
3.300000E+02    2.451580E-17    2.451580E-17
3.400000E+02    2.543940E-17    2.543940E-17
3.500000E+02    2.600560E-17    2.600560E-17
3.600000E+02    2.635960E-17    2.635960E-17
3.700000E+02    2.699210E-17    2.699210E-17
3.800000E+02    2.721920E-17    2.721920E-17
3.900000E+02    2.755730E-17    2.755730E-17
4.000000E+02    2.786880E-17    2.786880E-17
4.100000E+02    2.803100E-17    2.803100E-17
4.200000E+02    2.845620E-17    2.845620E-17
4.300000E+02    2.870500E-17    2.870500E-17
4.400000E+02    2.925520E-17    2.925520E-17
4.500000E+02    2.998710E-17    2.998710E-17
4.600000E+02    3.004500E-17    3.004500E-17
4.700000E+02    2.981740E-17    2.981740E-17
4.800000E+02    2.984530E-17    2.984530E-17
4.900000E+02    3.010990E-17    3.010990E-17
5.000000E+02    3.054730E-17    3.054730E-17
5.100000E+02    3.122090E-17    3.122090E-17
5.200000E+02    3.215430E-17    3.215430E-17
5.300000E+02    3.318590E-17    3.318590E-17
5.400000E+02    3.420000E-17    3.420000E-17
5.500000E+02    3.503170E-17    3.503170E-17
5.600000E+02    3.571530E-17    3.571530E-17
5.700000E+02    3.629540E-17    3.629540E-17
5.800000E+02    3.657180E-17    3.657180E-17
5.900000E+02    3.660730E-17    3.660730E-17
6.000000E+02    3.644130E-17    3.644130E-17
6.100000E+02    3.605240E-17    3.605240E-17
6.200000E+02    3.542240E-17    3.542240E-17
6.300000E+02    3.494630E-17    3.494630E-17
6.400000E+02    3.488550E-17    3.488550E-17
6.500000E+02    3.464040E-17    3.464040E-17
6.600000E+02    3.391880E-17    3.391880E-17
6.700000E+02    3.265520E-17    3.265520E-17
6.800000E+02    3.418890E-17    3.418890E-17
6.900000E+02    3.315130E-17    3.315130E-17
7.000000E+02    3.508220E-17    3.508220E-17
7.100000E+02    3.087300E-17    3.087300E-17
7.200000E+02    3.505020E-17    3.505020E-17
7.300000E+02    2.213960E-17    2.213960E-17
7.400000E+02    2.454020E-17    2.454020E-17
7.500000E+02    5.930190E-17    5.930190E-17
7.600000E+02    5.158860E-17    5.158860E-17
7.700000E+02    3.617040E-17    3.617040E-17
7.800000E+02    3.003700E-17    3.003700E-17
7.900000E+02    2.230580E-17    2.230580E-17
8.000000E+02    1.954190E-17    1.954190E-17
8.100000E+02    1.650780E-17    1.650780E-17
8.200000E+02    1.406610E-17    1.406610E-17
8.300000E+02    1.304100E-17    1.304100E-17
8.400000E+02    1.495970E-17    1.495970E-17
8.500000E+02    1.775610E-17    1.775610E-17
8.600000E+02    2.450260E-17    2.450260E-17
8.700000E+02    3.509510E-17    3.509510E-17
8.800000E+02    5.169100E-17    5.169100E-17
8.900000E+02    7.648240E-17    7.648240E-17
9.000000E+02    8.473220E-17    8.473220E-17
9.100000E+02    7.357770E-17    7.357770E-17
9.200000E+02    7.581110E-17    7.581110E-17
9.300000E+02    6.611710E-17    6.611710E-17
9.400000E+02    5.723340E-17    5.723340E-17
9.500000E+02    6.173150E-17    6.173150E-17
9.600000E+02    4.886310E-17    4.886310E-17
9.700000E+02    3.428230E-17    3.428230E-17
9.800000E+02    4.773000E-17    4.773000E-17
9.900000E+02    5.922180E-17    5.922180E-17
1.000000E+03    5.353160E-17    5.353160E-17
1.010000E+03    2.838310E-17    2.838310E-17
1.020000E+03    3.692620E-17    3.692620E-17
1.030000E+03    3.207730E-17    3.207730E-17
1.040000E+03    2.174120E-17    2.174120E-17
1.050000E+03    1.851100E-17    1.851100E-17
1.060000E+03    1.845780E-17    1.843060E-17
