COCL2_JPL06.abs
Air:  
Temp: 
Angstroms       XS
1.681000E+03    3.010000E-18
1.709500E+03    4.330000E-18
1.731500E+03    4.930000E-18
1.746500E+03    5.090000E-18
1.762000E+03    4.750000E-18
1.778000E+03    4.270000E-18
1.794000E+03    3.690000E-18
1.810000E+03    3.130000E-18
1.826500E+03    2.610000E-18
1.843500E+03    2.100000E-18
1.860500E+03    1.780000E-18
1.878000E+03    1.370000E-18
1.896000E+03    1.120000E-18
1.914000E+03    8.890000E-19
1.932500E+03    6.880000E-19
1.951500E+03    5.210000E-19
1.970500E+03    4.060000E-19
1.990000E+03    3.170000E-19
2.010100E+03    2.570000E-19
2.030500E+03    2.070000E-19
2.051400E+03    1.720000E-19
2.072600E+03    1.470000E-19
2.094300E+03    1.300000E-19
2.116500E+03    1.190000E-19
2.138900E+03    1.140000E-19
2.162000E+03    1.130000E-19
2.185900E+03    1.150000E-19
2.210000E+03    1.220000E-19
2.234700E+03    1.260000E-19
2.260000E+03    1.300000E-19
2.285800E+03    1.320000E-19
2.312300E+03    1.340000E-19
2.339300E+03    1.350000E-19
2.366900E+03    1.300000E-19
2.395300E+03    1.240000E-19
2.424300E+03    1.150000E-19
2.454100E+03    1.040000E-19
2.484500E+03    9.070000E-20
2.515900E+03    7.750000E-20
2.547900E+03    6.320000E-20
2.580800E+03    5.020000E-20
2.614500E+03    3.770000E-20
2.649200E+03    2.680000E-20
2.685000E+03    1.850000E-20
2.721200E+03    1.170000E-20
2.758800E+03    6.890000E-21
2.797400E+03    3.700000E-21
2.837000E+03    1.820000E-21
2.877800E+03    7.710000E-22
2.919900E+03    2.980000E-22
2.963200E+03    1.040000E-22
3.007700E+03    3.230000E-23
3.053600E+03    9.640000E-24
