CS2_mpi.abs and CS2X_mpi.abs (starts at 2816)
Air:  
Temp: 
Angstroms       XS
1.800000E+03    9.120000E-18
1.803400E+03    1.202000E-17
1.805100E+03    1.820000E-17
1.806900E+03    4.169000E-17
1.808600E+03    5.495000E-17
1.810300E+03    8.318000E-17
1.813800E+03    9.550000E-17
1.819000E+03    9.550000E-17
1.820700E+03    8.318000E-17
1.822400E+03    4.169000E-17
1.824200E+03    3.631000E-17
1.825900E+03    3.162000E-17
1.827600E+03    2.399000E-17
1.829400E+03    2.089000E-17
1.831100E+03    1.585000E-17
1.834600E+03    2.089000E-17
1.838000E+03    2.089000E-17
1.839700E+03    2.754000E-17
1.846700E+03    2.754000E-17
1.850100E+03    3.162000E-17
1.853600E+03    2.089000E-17
1.855300E+03    2.399000E-17
1.858800E+03    1.820000E-17
1.865700E+03    2.754000E-17
1.870900E+03    1.820000E-17
1.872600E+03    2.089000E-17
1.874300E+03    2.754000E-17
1.876100E+03    3.162000E-17
1.877800E+03    3.631000E-17
1.879500E+03    4.169000E-17
1.884700E+03    2.399000E-17
1.888200E+03    4.169000E-17
1.893400E+03    7.244000E-17
1.896800E+03    3.631000E-17
1.898600E+03    5.495000E-17
1.902000E+03    7.244000E-17
1.907200E+03    1.096000E-16
1.908900E+03    9.550000E-17
1.914100E+03    6.310000E-17
1.917600E+03    1.445000E-16
1.921100E+03    1.259000E-16
1.922800E+03    1.905000E-16
1.924500E+03    9.550000E-17
1.926200E+03    8.318000E-17
1.929700E+03    1.096000E-16
1.933200E+03    2.884000E-16
1.936600E+03    2.188000E-16
1.941800E+03    1.259000E-16
1.945300E+03    1.445000E-16
1.948700E+03    3.802000E-16
1.953900E+03    1.660000E-16
1.959100E+03    1.445000E-16
1.964300E+03    2.188000E-16
1.966000E+03    3.802000E-16
1.967800E+03    5.012000E-16
1.969500E+03    3.311000E-16
1.971200E+03    1.660000E-16
1.974700E+03    1.096000E-16
1.978200E+03    1.660000E-16
1.979900E+03    2.884000E-16
1.981600E+03    5.754000E-16
1.985100E+03    2.512000E-16
1.986800E+03    1.259000E-16
1.990300E+03    8.318000E-17
1.993700E+03    1.445000E-16
1.997200E+03    5.754000E-16
2.000600E+03    1.259000E-16
2.004100E+03    1.096000E-16
2.007600E+03    4.786000E-17
2.009300E+03    1.905000E-16
2.012800E+03    1.660000E-16
2.014500E+03    5.012000E-16
2.017900E+03    1.660000E-16
2.019700E+03    5.495000E-17
2.021400E+03    4.169000E-17
2.024900E+03    7.244000E-17
2.028300E+03    1.660000E-16
2.031800E+03    4.365000E-16
2.033500E+03    1.096000E-16
2.035200E+03    4.786000E-17
2.038700E+03    2.754000E-17
2.040400E+03    5.495000E-17
2.042200E+03    5.495000E-17
2.043900E+03    1.445000E-16
2.047400E+03    1.905000E-16
2.049100E+03    7.244000E-17
2.050800E+03    3.631000E-17
2.054300E+03    2.399000E-17
2.057700E+03    3.162000E-17
2.062900E+03    3.631000E-17
2.064700E+03    9.550000E-17
2.068100E+03    2.089000E-17
2.071600E+03    1.585000E-17
2.073300E+03    1.380000E-17
2.075000E+03    2.089000E-17
2.078500E+03    1.820000E-17
2.083700E+03    5.495000E-17
2.087100E+03    2.754000E-17
2.088900E+03    9.120000E-18
2.092300E+03    6.918000E-18
2.095800E+03    1.202000E-17
2.101000E+03    1.820000E-17
2.104400E+03    1.380000E-17
2.107900E+03    3.020000E-18
2.109600E+03    5.248000E-18
2.113100E+03    3.467000E-18
2.116600E+03    6.918000E-18
2.118300E+03    6.026000E-18
2.120000E+03    1.047000E-17
2.121700E+03    3.020000E-18
2.126900E+03    1.738000E-18
2.133900E+03    1.738000E-18
2.135600E+03    3.020000E-18
2.137300E+03    4.571000E-18
2.139100E+03    1.995000E-18
2.142500E+03    1.148000E-18
2.144200E+03    7.586000E-19
2.147700E+03    6.607000E-19
2.154600E+03    1.148000E-18
2.158100E+03    5.754000E-19
2.161500E+03    3.802000E-19
2.165000E+03    3.311000E-19
2.168500E+03    2.512000E-19
2.177100E+03    4.365000E-19
2.178800E+03    2.884000E-19
2.184000E+03    9.550000E-20
2.186000E+03    1.259000E-19
2.189200E+03    7.244000E-20
2.191000E+03    8.318000E-20
2.196100E+03    1.259000E-19
2.199600E+03    7.244000E-20
2.203100E+03    4.169000E-20
2.204800E+03    3.162000E-20
2.206500E+03    4.169000E-20
2.210000E+03    2.754000E-20
2.211700E+03    2.399000E-20
2.215200E+03    3.162000E-20
2.218600E+03    2.754000E-20
2.223800E+03    1.380000E-20
2.227300E+03    1.585000E-20
2.229000E+03    1.202000E-20
2.230700E+03    1.202000E-20
2.232500E+03    9.120000E-21
2.235900E+03    1.202000E-20
2.241100E+03    5.248000E-21
2.244600E+03    4.571000E-21
2.248000E+03    5.248000E-21
2.255000E+03    2.630000E-21
2.256700E+03    4.571000E-21
2.258400E+03    2.630000E-21
2.261900E+03    3.981000E-21
2.263600E+03    1.995000E-21
2.267100E+03    1.738000E-21
2.270500E+03    2.291000E-21
2.272300E+03    1.738000E-21
2.277500E+03    1.318000E-21
2.279200E+03    1.995000E-21
2.284400E+03    1.148000E-21
2.816960E+03    1.252660E-21
2.817570E+03    1.206980E-21
2.818180E+03    1.223990E-21
2.818800E+03    1.257170E-21
2.819410E+03    1.210230E-21
2.820020E+03    1.165020E-21
2.820640E+03    1.148150E-21
2.821250E+03    1.175710E-21
2.821860E+03    1.192430E-21
2.822480E+03    1.127160E-21
2.823090E+03    1.020290E-21
2.823710E+03    8.518840E-22
2.824320E+03    7.313590E-22
2.824940E+03    7.189320E-22
2.825550E+03    7.179430E-22
2.826170E+03    6.895200E-22
2.826790E+03    6.914840E-22
2.827400E+03    7.244720E-22
2.828020E+03    7.513860E-22
2.828640E+03    7.924300E-22
2.829250E+03    7.743430E-22
2.829870E+03    7.619710E-22
2.830490E+03    8.917470E-22
2.831110E+03    1.152290E-21
2.831730E+03    1.381230E-21
2.832350E+03    1.485350E-21
2.832960E+03    1.551700E-21
2.833580E+03    1.548500E-21
2.834200E+03    1.503230E-21
2.834820E+03    1.520450E-21
2.835440E+03    1.586970E-21
2.836060E+03    1.610490E-21
2.836680E+03    1.597620E-21
2.837300E+03    1.598030E-21
2.837930E+03    1.578370E-21
2.838550E+03    1.609910E-21
2.839170E+03    1.578640E-21
2.839790E+03    1.425650E-21
2.840410E+03    1.269300E-21
2.841040E+03    1.107340E-21
2.841660E+03    9.858070E-22
2.842280E+03    9.048540E-22
2.842900E+03    9.048090E-22
2.843530E+03    1.058080E-21
2.844150E+03    1.304910E-21
2.844780E+03    1.458530E-21
2.845400E+03    1.464610E-21
2.846030E+03    1.460960E-21
2.846650E+03    1.449960E-21
2.847280E+03    1.489000E-21
2.847900E+03    1.582680E-21
2.848530E+03    1.669360E-21
2.849150E+03    1.730290E-21
2.849780E+03    1.731050E-21
2.850410E+03    1.745370E-21
2.851030E+03    1.867330E-21
2.851660E+03    2.125420E-21
2.852290E+03    2.384970E-21
2.852910E+03    2.590510E-21
2.853540E+03    2.667600E-21
2.854170E+03    2.528370E-21
2.854800E+03    2.294430E-21
2.855430E+03    2.043720E-21
2.856060E+03    1.944570E-21
2.856690E+03    1.991130E-21
2.857320E+03    2.087140E-21
2.857950E+03    2.266390E-21
2.858580E+03    2.375300E-21
2.859210E+03    2.273080E-21
2.859840E+03    2.028130E-21
2.860470E+03    1.846800E-21
2.861100E+03    1.744980E-21
2.861730E+03    1.688210E-21
2.862360E+03    1.708010E-21
2.863000E+03    1.751230E-21
2.863630E+03    1.796760E-21
2.864260E+03    1.802430E-21
2.864890E+03    1.873780E-21
2.865530E+03    2.033790E-21
2.866160E+03    2.211260E-21
2.866790E+03    2.472860E-21
2.867430E+03    2.748350E-21
2.868060E+03    2.919850E-21
2.868700E+03    2.930940E-21
2.869330E+03    2.903680E-21
2.869970E+03    2.914110E-21
2.870600E+03    2.968940E-21
2.871240E+03    3.142920E-21
2.871880E+03    3.227000E-21
2.872510E+03    3.173240E-21
2.873150E+03    3.266530E-21
2.873790E+03    3.521360E-21
2.874420E+03    3.796560E-21
2.875060E+03    3.938390E-21
2.875700E+03    3.753900E-21
2.876340E+03    3.367400E-21
2.876970E+03    3.103650E-21
2.877610E+03    2.926320E-21
2.878250E+03    2.722640E-21
2.878890E+03    2.669010E-21
2.879530E+03    2.773090E-21
2.880170E+03    2.892460E-21
2.880810E+03    2.998400E-21
2.881450E+03    2.953080E-21
2.882090E+03    2.818780E-21
2.882730E+03    2.750380E-21
2.883370E+03    2.758050E-21
2.884010E+03    2.890520E-21
2.884660E+03    2.958280E-21
2.885300E+03    2.871600E-21
2.885940E+03    2.863170E-21
2.886580E+03    3.141930E-21
2.887230E+03    3.632640E-21
2.887870E+03    4.139020E-21
2.888510E+03    4.651910E-21
2.889160E+03    4.893120E-21
2.889800E+03    4.871950E-21
2.890440E+03    4.826740E-21
2.891090E+03    4.609160E-21
2.891730E+03    4.423050E-21
2.892380E+03    4.407280E-21
2.893030E+03    4.337910E-21
2.893670E+03    4.258760E-21
2.894320E+03    4.187570E-21
2.894960E+03    4.000110E-21
2.895610E+03    3.781600E-21
2.896260E+03    3.682020E-21
2.896900E+03    3.748220E-21
2.897550E+03    3.899500E-21
2.898200E+03    3.928940E-21
2.898850E+03    3.908870E-21
2.899500E+03    3.978580E-21
2.900140E+03    4.044950E-21
2.900790E+03    4.096500E-21
2.901440E+03    4.138650E-21
2.902090E+03    4.203960E-21
2.902740E+03    4.283730E-21
2.903390E+03    4.300230E-21
2.904040E+03    4.290420E-21
2.904690E+03    4.299910E-21
2.905340E+03    4.286680E-21
2.906000E+03    4.198810E-21
2.906650E+03    4.198650E-21
2.907300E+03    4.485580E-21
2.907950E+03    4.902260E-21
2.908600E+03    5.194020E-21
2.909260E+03    5.474270E-21
2.909910E+03    5.872410E-21
2.910560E+03    6.177300E-21
2.911220E+03    6.384970E-21
2.911870E+03    6.851620E-21
2.912520E+03    7.442380E-21
2.913180E+03    7.753300E-21
2.913830E+03    7.712380E-21
2.914490E+03    6.973010E-21
2.915140E+03    5.885290E-21
2.915800E+03    5.498450E-21
2.916460E+03    5.606070E-21
2.917110E+03    5.623530E-21
2.917770E+03    5.717160E-21
2.918430E+03    5.856090E-21
2.919080E+03    5.779040E-21
2.919740E+03    5.740290E-21
2.920400E+03    5.950610E-21
2.921060E+03    6.265840E-21
2.921710E+03    6.615540E-21
2.922370E+03    7.016530E-21
2.923030E+03    7.535840E-21
2.923690E+03    8.169060E-21
2.924350E+03    9.148740E-21
2.925010E+03    9.955420E-21
2.925670E+03    9.754370E-21
2.926330E+03    9.086540E-21
