H2
Air:  
Temp:           300K
Angstroms       XS
5.000000E+01    3.778030E-21
6.000000E+01    6.355840E-21
7.000000E+01    9.814820E-21
8.000000E+01    1.457010E-20
9.000000E+01    2.083630E-20
1.000000E+02    2.884580E-20
1.100000E+02    3.812230E-20
1.200000E+02    4.911550E-20
1.300000E+02    6.183710E-20
1.400000E+02    7.785410E-20
1.500000E+02    9.839190E-20
1.600000E+02    1.232010E-19
1.700000E+02    1.510200E-19
1.800000E+02    1.817160E-19
1.900000E+02    2.169910E-19
2.000000E+02    2.531640E-19
2.100000E+02    3.646410E-19
2.200000E+02    3.523810E-19
2.300000E+02    4.571180E-19
2.400000E+02    4.674520E-19
2.500000E+02    4.952350E-19
2.600000E+02    5.727440E-19
2.700000E+02    6.900260E-19
2.800000E+02    7.181550E-19
2.900000E+02    8.760980E-19
3.000000E+02    9.520610E-19
3.100000E+02    1.074730E-18
3.200000E+02    1.121070E-18
3.300000E+02    1.374010E-18
3.400000E+02    1.526160E-18
3.500000E+02    1.715970E-18
3.600000E+02    1.893680E-18
3.700000E+02    2.023520E-18
3.800000E+02    2.159190E-18
3.900000E+02    2.273310E-18
4.000000E+02    2.488130E-18
4.100000E+02    2.647110E-18
4.200000E+02    2.809610E-18
4.300000E+02    2.899440E-18
4.400000E+02    3.187700E-18
4.500000E+02    3.369720E-18
4.600000E+02    3.625600E-18
4.700000E+02    3.825970E-18
4.800000E+02    4.070930E-18
4.900000E+02    4.366980E-18
5.000000E+02    4.505650E-18
5.100000E+02    4.850060E-18
5.200000E+02    5.051140E-18
5.300000E+02    5.217080E-18
5.400000E+02    5.661890E-18
5.500000E+02    5.808910E-18
5.600000E+02    6.085850E-18
5.700000E+02    6.392750E-18
5.800000E+02    6.641430E-18
5.900000E+02    6.920330E-18
6.000000E+02    7.350770E-18
6.100000E+02    7.678930E-18
6.200000E+02    7.918340E-18
6.300000E+02    8.314940E-18
6.400000E+02    8.707350E-18
6.500000E+02    8.850790E-18
6.600000E+02    9.275340E-18
6.700000E+02    9.509230E-18
6.800000E+02    9.950560E-18
6.900000E+02    1.028570E-17
7.000000E+02    1.060000E-17
7.100000E+02    1.079340E-17
7.200000E+02    1.134610E-17
7.300000E+02    1.197280E-17
7.400000E+02    1.220620E-17
7.500000E+02    1.269060E-17
7.600000E+02    1.302490E-17
7.700000E+02    1.364350E-17
7.800000E+02    1.365360E-17
7.900000E+02    1.482590E-17
8.000000E+02    1.568340E-17
8.100000E+02    1.505290E-17
8.200000E+02    1.500760E-17
8.300000E+02    1.593540E-17
8.400000E+02    1.318190E-17
8.500000E+02    1.911080E-17
8.600000E+02    1.726960E-17
8.700000E+02    1.523910E-17
8.800000E+02    1.670060E-17
8.900000E+02    1.165810E-17
9.000000E+02    1.740850E-17
9.100000E+02    2.517820E-17
9.200000E+02    1.905170E-17
9.300000E+02    2.895010E-17
9.400000E+02    4.964160E-17
9.500000E+02    1.945930E-17
9.600000E+02    6.795310E-17
9.700000E+02    2.307850E-17
9.800000E+02    7.548640E-17
9.900000E+02    2.917610E-17
1.000000E+03    5.041890E-17
1.010000E+03    4.338320E-17
1.020000E+03    2.750900E-17
1.030000E+03    2.440800E-17
1.040000E+03    1.492460E-17
1.050000E+03    1.581290E-17
1.060000E+03    1.773420E-17
1.070000E+03    1.039300E-17
1.080000E+03    4.089830E-18
1.090000E+03    6.044850E-18
1.100000E+03    1.522090E-18
1.110000E+03    8.510520E-19
1.120000E+03    6.776230E-20
1.130000E+03    2.435640E-20
1.140000E+03    2.376750E-20
1.150000E+03    8.341490E-21
1.160000E+03    7.192850E-21
