H2S_mpi.abs
Air:  
Temp: 
Angstroms       XS
1.215670E+02    2.800000E-17
1.278190E+02    8.000000E-18
1.347650E+02    5.000000E-18
1.425110E+02    4.000000E-18
1.512000E+02    1.000000E-18
1.594700E+02    3.895000E-19
1.594750E+02    3.914000E-19
1.594800E+02    3.916000E-19
1.594850E+02    3.913000E-19
1.594900E+02    3.889000E-19
1.594950E+02    3.893000E-19
1.595000E+02    3.883000E-19
1.595050E+02    3.862000E-19
1.595100E+02    3.852000E-19
1.595150E+02    3.833000E-19
1.595200E+02    3.822000E-19
1.595250E+02    3.796000E-19
1.595300E+02    3.785000E-19
1.595350E+02    3.779000E-19
1.595400E+02    3.736000E-19
1.595450E+02    3.727000E-19
1.595500E+02    3.713000E-19
1.595550E+02    3.698000E-19
1.595600E+02    3.696000E-19
1.595650E+02    3.686000E-19
1.595700E+02    3.684000E-19
1.595750E+02    3.682000E-19
1.595800E+02    3.666000E-19
1.595850E+02    3.648000E-19
1.595900E+02    3.641000E-19
1.595950E+02    3.647000E-19
1.596000E+02    3.650000E-19
1.596050E+02    3.647000E-19
1.596100E+02    3.625000E-19
1.596150E+02    3.613000E-19
1.596200E+02    3.595000E-19
1.596250E+02    3.592000E-19
1.596300E+02    3.588000E-19
1.596350E+02    3.573000E-19
1.596400E+02    3.557000E-19
1.596450E+02    3.535000E-19
1.596500E+02    3.522000E-19
1.596550E+02    3.511000E-19
1.596600E+02    3.503000E-19
1.596650E+02    3.507000E-19
1.596700E+02    3.511000E-19
1.596750E+02    3.507000E-19
1.596800E+02    3.504000E-19
1.596850E+02    3.502000E-19
1.596900E+02    3.499000E-19
1.596950E+02    3.487000E-19
1.597000E+02    3.475000E-19
1.597050E+02    3.456000E-19
1.597100E+02    3.441000E-19
1.597150E+02    3.425000E-19
1.597200E+02    3.423000E-19
1.597250E+02    3.418000E-19
1.597300E+02    3.407000E-19
1.597350E+02    3.415000E-19
1.597400E+02    3.393000E-19
1.597450E+02    3.387000E-19
1.597500E+02    3.373000E-19
1.597550E+02    3.376000E-19
1.597600E+02    3.362000E-19
1.597650E+02    3.354000E-19
1.597700E+02    3.344000E-19
1.597750E+02    3.331000E-19
1.597800E+02    3.334000E-19
1.597850E+02    3.346000E-19
1.597900E+02    3.341000E-19
1.597950E+02    3.348000E-19
1.598000E+02    3.340000E-19
1.598050E+02    3.313000E-19
1.598100E+02    3.302000E-19
1.598150E+02    3.289000E-19
1.598200E+02    3.282000E-19
1.598250E+02    3.264000E-19
1.598300E+02    3.269000E-19
1.598350E+02    3.281000E-19
1.598400E+02    3.262000E-19
1.598450E+02    3.251000E-19
1.598500E+02    3.249000E-19
1.598550E+02    3.263000E-19
1.598600E+02    3.273000E-19
1.598650E+02    3.259000E-19
1.598700E+02    3.252000E-19
1.598750E+02    3.241000E-19
1.598800E+02    3.246000E-19
1.598850E+02    3.232000E-19
1.598900E+02    3.219000E-19
1.598950E+02    3.207000E-19
1.599000E+02    3.194000E-19
1.599050E+02    3.190000E-19
1.599100E+02    3.186000E-19
1.599150E+02    3.189000E-19
1.599200E+02    3.177000E-19
1.599250E+02    3.175000E-19
1.599300E+02    3.182000E-19
1.599350E+02    3.169000E-19
1.599400E+02    3.167000E-19
1.599450E+02    3.175000E-19
1.599500E+02    3.158000E-19
1.599550E+02    3.168000E-19
1.599600E+02    3.155000E-19
1.599650E+02    3.146000E-19
1.599700E+02    3.139000E-19
1.599750E+02    3.144000E-19
1.599800E+02    3.150000E-19
1.599850E+02    3.140000E-19
1.599900E+02    3.142000E-19
1.599950E+02    3.132000E-19
1.600000E+02    3.140000E-19
1.600050E+02    3.132000E-19
1.600100E+02    3.122000E-19
1.600150E+02    3.115000E-19
1.600200E+02    3.123000E-19
1.600250E+02    3.124000E-19
1.600300E+02    3.109000E-19
1.600350E+02    3.110000E-19
1.600400E+02    3.100000E-19
1.600450E+02    3.094000E-19
1.600500E+02    3.084000E-19
1.600550E+02    3.099000E-19
1.600600E+02    3.102000E-19
1.600650E+02    3.098000E-19
1.600700E+02    3.089000E-19
1.600750E+02    3.080000E-19
1.600800E+02    3.078000E-19
1.600850E+02    3.075000E-19
1.600900E+02    3.081000E-19
1.600950E+02    3.078000E-19
1.601000E+02    3.087000E-19
1.601050E+02    3.097000E-19
1.601100E+02    3.074000E-19
1.601150E+02    3.063000E-19
1.601200E+02    3.071000E-19
1.601250E+02    3.067000E-19
1.601300E+02    3.065000E-19
1.601350E+02    3.057000E-19
1.601400E+02    3.054000E-19
1.601450E+02    3.044000E-19
1.601500E+02    3.046000E-19
1.601550E+02    3.053000E-19
1.601600E+02    3.064000E-19
1.601650E+02    3.058000E-19
1.601700E+02    3.057000E-19
1.601750E+02    3.074000E-19
1.601800E+02    3.071000E-19
1.601850E+02    3.076000E-19
1.601900E+02    3.054000E-19
1.601950E+02    3.046000E-19
1.602000E+02    3.045000E-19
1.602050E+02    3.051000E-19
1.602100E+02    3.049000E-19
1.602150E+02    3.060000E-19
1.602200E+02    3.052000E-19
1.602250E+02    3.056000E-19
1.602300E+02    3.057000E-19
1.602350E+02    3.063000E-19
1.602400E+02    3.058000E-19
1.602450E+02    3.069000E-19
1.602500E+02    3.080000E-19
1.602550E+02    3.070000E-19
1.602600E+02    3.062000E-19
1.602650E+02    3.052000E-19
1.602700E+02    3.057000E-19
1.602750E+02    3.045000E-19
1.602800E+02    3.053000E-19
1.602850E+02    3.046000E-19
1.602900E+02    3.059000E-19
1.602950E+02    3.052000E-19
1.603000E+02    3.042000E-19
1.603050E+02    3.044000E-19
1.603100E+02    3.044000E-19
1.603150E+02    3.041000E-19
1.603200E+02    3.030000E-19
1.603250E+02    3.039000E-19
1.603300E+02    3.044000E-19
1.603350E+02    3.051000E-19
1.603400E+02    3.060000E-19
1.603450E+02    3.072000E-19
1.603500E+02    3.085000E-19
1.603550E+02    3.076000E-19
1.603600E+02    3.070000E-19
1.603650E+02    3.059000E-19
1.603700E+02    3.063000E-19
1.603750E+02    3.061000E-19
1.603800E+02    3.065000E-19
1.603850E+02    3.057000E-19
1.603900E+02    3.069000E-19
1.603950E+02    3.062000E-19
1.604000E+02    3.071000E-19
1.604050E+02    3.083000E-19
1.604100E+02    3.092000E-19
1.604150E+02    3.096000E-19
1.604200E+02    3.102000E-19
1.604250E+02    3.096000E-19
1.604300E+02    3.095000E-19
1.604350E+02    3.104000E-19
1.604400E+02    3.113000E-19
1.604450E+02    3.114000E-19
1.604500E+02    3.113000E-19
1.604550E+02    3.110000E-19
1.604600E+02    3.124000E-19
1.604650E+02    3.126000E-19
1.604700E+02    3.123000E-19
1.604750E+02    3.128000E-19
1.604800E+02    3.141000E-19
1.604850E+02    3.128000E-19
1.604900E+02    3.126000E-19
1.604950E+02    3.132000E-19
1.605000E+02    3.131000E-19
1.605050E+02    3.137000E-19
1.605100E+02    3.157000E-19
1.605150E+02    3.162000E-19
1.605200E+02    3.171000E-19
1.605250E+02    3.164000E-19
1.605300E+02    3.158000E-19
1.605350E+02    3.163000E-19
1.605400E+02    3.171000E-19
1.605450E+02    3.185000E-19
1.605500E+02    3.198000E-19
1.605550E+02    3.203000E-19
1.605600E+02    3.202000E-19
1.605650E+02    3.210000E-19
1.605700E+02    3.224000E-19
1.605750E+02    3.239000E-19
1.605800E+02    3.241000E-19
1.605850E+02    3.245000E-19
1.605900E+02    3.250000E-19
1.605950E+02    3.243000E-19
1.606000E+02    3.243000E-19
1.606050E+02    3.240000E-19
1.606100E+02    3.247000E-19
1.606150E+02    3.256000E-19
1.606200E+02    3.259000E-19
1.606250E+02    3.254000E-19
1.606300E+02    3.258000E-19
1.606350E+02    3.245000E-19
1.606400E+02    3.263000E-19
1.606450E+02    3.270000E-19
1.606500E+02    3.279000E-19
1.606550E+02    3.285000E-19
1.606600E+02    3.292000E-19
1.606650E+02    3.300000E-19
1.606700E+02    3.331000E-19
1.606750E+02    3.339000E-19
1.606800E+02    3.334000E-19
1.606850E+02    3.335000E-19
1.606900E+02    3.342000E-19
1.606950E+02    3.354000E-19
1.607000E+02    3.357000E-19
1.607050E+02    3.346000E-19
1.607100E+02    3.350000E-19
1.607150E+02    3.350000E-19
1.607200E+02    3.371000E-19
1.607250E+02    3.378000E-19
1.607300E+02    3.384000E-19
1.607350E+02    3.393000E-19
1.607400E+02    3.413000E-19
1.607450E+02    3.408000E-19
1.607500E+02    3.399000E-19
1.607550E+02    3.409000E-19
1.607600E+02    3.408000E-19
1.607650E+02    3.415000E-19
1.607700E+02    3.421000E-19
1.607750E+02    3.428000E-19
1.607800E+02    3.426000E-19
1.607850E+02    3.452000E-19
1.607900E+02    3.467000E-19
1.607950E+02    3.490000E-19
1.608000E+02    3.495000E-19
1.608050E+02    3.495000E-19
1.608100E+02    3.501000E-19
1.608150E+02    3.507000E-19
1.608200E+02    3.508000E-19
1.608250E+02    3.518000E-19
1.608300E+02    3.516000E-19
1.608350E+02    3.509000E-19
1.608400E+02    3.524000E-19
1.608450E+02    3.524000E-19
1.608500E+02    3.520000E-19
1.608550E+02    3.531000E-19
1.608600E+02    3.540000E-19
1.608650E+02    3.544000E-19
