HC3N
Air:  
Temp:           100K            300K      
Angstroms       XS
1.150000E+03    6.143350E-17    6.000250E-17
1.160000E+03    3.400470E-17    3.208310E-17
1.170000E+03    4.412690E-17    4.248470E-17
1.180000E+03    2.084810E-17    1.935420E-17
1.190000E+03    3.404920E-17    3.074810E-17
1.200000E+03    2.006850E-17    1.512480E-17
1.210000E+03    2.438090E-17    1.917250E-17
1.220000E+03    7.342180E-17    6.827610E-17
1.230000E+03    3.556300E-17    3.121970E-17
1.240000E+03    4.190150E-17    3.725230E-17
1.250000E+03    9.036930E-17    8.369370E-17
1.260000E+03    6.439050E-17    6.033860E-17
1.270000E+03    4.378320E-17    3.922720E-17
1.280000E+03    9.651960E-17    8.995460E-17
1.290000E+03    1.389250E-16    1.345050E-16
1.300000E+03    3.263350E-17    3.165660E-17
1.310000E+03    2.525600E-17    2.315650E-17
1.320000E+03    2.901110E-17    2.677730E-17
1.330000E+03    3.554940E-17    3.412480E-17
1.340000E+03    4.599210E-17    4.439460E-17
1.350000E+03    6.109440E-17    5.938680E-17
1.360000E+03    7.657060E-17    7.500150E-17
1.370000E+03    8.684090E-17    8.475790E-17
1.380000E+03    1.057700E-16    1.044880E-16
1.390000E+03    1.305880E-16    1.294840E-16
1.400000E+03    1.635000E-16    1.627150E-16
1.410000E+03    1.677130E-16    1.650270E-16
1.420000E+03    1.354390E-16    1.388750E-16
1.430000E+03    1.512380E-16    1.515160E-16
1.440000E+03    2.049690E-16    2.005990E-16
1.450000E+03    2.028150E-16    2.019830E-16
1.460000E+03    1.461810E-16    1.480180E-16
1.470000E+03    8.067560E-17    8.434840E-17
1.480000E+03    4.362850E-17    4.935710E-17
1.490000E+03    3.529920E-17    3.927960E-17
1.500000E+03    4.769880E-17    4.979430E-17
1.510000E+03    2.387680E-17    3.037350E-17
1.520000E+03    1.044210E-17    1.488490E-17
1.530000E+03    6.639080E-18    9.143850E-18
1.540000E+03    6.857520E-18    8.670340E-18
1.550000E+03    6.992160E-18    8.603250E-18
1.560000E+03    5.651920E-18    7.957770E-18
1.570000E+03    3.634610E-18    6.412120E-18
1.580000E+03    2.804290E-18    6.072190E-18
1.590000E+03    3.984730E-18    7.288220E-18
1.600000E+03    4.055190E-18    7.500690E-18
1.610000E+03    4.339150E-18    6.978420E-18
1.620000E+03    2.188030E-18    4.979910E-18
1.630000E+03    1.009980E-18    4.039290E-18
1.640000E+03    1.862120E-18    3.139690E-18
1.650000E+03    1.320140E-18    1.882410E-18
1.660000E+03    1.113000E-18    1.576400E-18
1.670000E+03    1.091800E-18    1.180640E-18
1.680000E+03    7.836730E-19    1.310770E-18
1.690000E+03    5.235280E-18    1.056290E-17
1.840000E+03    2.697870E-19    4.521840E-19
1.850000E+03    2.395440E-19    3.945130E-19
1.860000E+03    2.456950E-19    3.612350E-19
1.870000E+03    2.112040E-19    2.880620E-19
1.880000E+03    1.870970E-19    2.993920E-19
1.890000E+03    2.354500E-19    3.164610E-19
1.900000E+03    1.690370E-19    2.626140E-19
1.910000E+03    1.542000E-19    2.030510E-19
1.920000E+03    1.233490E-19    1.813530E-19
1.930000E+03    1.925440E-19    2.197020E-19
1.940000E+03    1.521140E-19    1.962380E-19
1.950000E+03    2.861950E-19    2.772610E-19
1.960000E+03    3.281270E-19    3.467170E-19
1.970000E+03    2.433300E-19    3.099620E-19
1.980000E+03    1.163870E-19    1.558690E-19
1.990000E+03    1.348490E-19    1.884000E-19
2.000000E+03    1.448060E-19    1.844980E-19
2.010000E+03    2.302030E-19    2.578500E-19
2.020000E+03    1.810460E-19    2.218760E-19
2.030000E+03    3.127430E-19    3.528350E-19
2.040000E+03    3.068430E-19    2.917470E-19
2.050000E+03    6.212260E-19    6.184060E-19
2.060000E+03    1.389250E-19    1.976350E-19
2.070000E+03    1.237190E-19    1.671950E-19
2.080000E+03    1.245230E-19    1.953200E-19
2.090000E+03    1.550290E-19    1.915170E-19
2.100000E+03    1.953310E-19    2.390290E-19
2.110000E+03    1.792560E-19    2.103930E-19
2.120000E+03    3.181600E-19    3.481560E-19
2.130000E+03    2.228630E-19    2.509110E-19
2.140000E+03    8.213040E-19    7.521560E-19
2.150000E+03    1.309180E-19    2.124340E-19
2.160000E+03    9.209010E-20    1.452980E-19
2.170000E+03    9.420030E-20    1.585630E-19
2.180000E+03    8.932990E-20    1.435430E-19
2.190000E+03    8.855660E-20    1.224140E-19
2.200000E+03    1.000980E-19    1.197120E-19
2.210000E+03    1.239530E-19    1.315640E-19
2.220000E+03    1.199130E-19    1.479570E-19
2.230000E+03    3.815840E-20    7.790870E-20
2.240000E+03    4.916930E-19    4.309840E-19
2.250000E+03    1.041770E-19    1.530980E-19
2.260000E+03    2.373130E-20    6.682300E-20
2.270000E+03    2.734460E-20    7.647250E-20
2.280000E+03    2.145540E-20    6.837870E-20
