HCHO
Air:  
Temp:           100K            300K      
Angstroms       XS
7.000000E+01    6.910520E-19    6.910520E-19
8.000000E+01    9.134880E-19    9.134880E-19
9.000000E+01    1.167940E-18    1.167940E-18
1.000000E+02    1.468520E-18    1.468520E-18
1.100000E+02    1.818200E-18    1.818200E-18
1.200000E+02    2.210270E-18    2.210270E-18
1.300000E+02    2.604740E-18    2.604740E-18
1.400000E+02    3.089330E-18    3.089330E-18
1.500000E+02    3.591400E-18    3.591400E-18
1.600000E+02    4.086250E-18    4.086250E-18
1.700000E+02    4.610790E-18    4.610790E-18
1.800000E+02    5.192800E-18    5.192800E-18
1.900000E+02    5.798080E-18    5.798080E-18
2.000000E+02    6.487630E-18    6.487630E-18
2.100000E+02    7.168510E-18    7.168510E-18
2.200000E+02    7.791390E-18    7.791390E-18
2.300000E+02    8.517500E-18    8.517500E-18
2.400000E+02    9.407690E-18    9.407690E-18
2.500000E+02    9.878090E-18    9.878090E-18
2.600000E+02    1.032740E-17    1.032740E-17
2.700000E+02    1.120480E-17    1.120480E-17
2.800000E+02    1.181270E-17    1.181270E-17
2.900000E+02    1.257640E-17    1.257640E-17
3.000000E+02    1.274120E-17    1.274120E-17
3.100000E+02    1.367960E-17    1.367960E-17
3.200000E+02    1.438470E-17    1.438470E-17
3.300000E+02    1.475560E-17    1.475560E-17
3.400000E+02    1.560360E-17    1.560360E-17
3.500000E+02    1.630200E-17    1.630200E-17
3.600000E+02    1.692180E-17    1.692180E-17
3.700000E+02    1.766270E-17    1.766270E-17
3.800000E+02    1.868870E-17    1.868870E-17
3.900000E+02    2.010970E-17    2.010970E-17
4.000000E+02    2.140780E-17    2.140780E-17
4.100000E+02    2.219120E-17    2.219120E-17
4.200000E+02    2.322520E-17    2.322520E-17
4.300000E+02    2.445630E-17    2.445630E-17
4.400000E+02    2.577790E-17    2.577790E-17
4.500000E+02    2.700050E-17    2.700050E-17
4.600000E+02    2.795120E-17    2.795120E-17
4.700000E+02    2.879800E-17    2.879800E-17
4.800000E+02    3.067870E-17    3.067870E-17
4.900000E+02    3.139280E-17    3.139280E-17
5.000000E+02    3.181150E-17    3.181150E-17
5.100000E+02    3.298350E-17    3.298350E-17
5.200000E+02    3.373520E-17    3.373520E-17
5.300000E+02    3.384250E-17    3.384250E-17
5.400000E+02    3.483370E-17    3.483370E-17
5.500000E+02    3.563030E-17    3.563030E-17
5.600000E+02    3.565010E-17    3.565010E-17
5.700000E+02    3.676740E-17    3.676740E-17
5.800000E+02    3.742030E-17    3.742030E-17
5.900000E+02    3.792900E-17    3.792900E-17
6.000000E+02    3.892920E-17    3.892920E-17
6.100000E+02    3.911620E-17    3.911620E-17
6.200000E+02    3.977190E-17    3.977190E-17
6.300000E+02    3.972540E-17    3.972540E-17
6.400000E+02    3.987190E-17    3.987190E-17
6.500000E+02    3.993910E-17    3.993910E-17
6.600000E+02    4.047280E-17    4.047280E-17
6.700000E+02    4.088100E-17    4.088100E-17
6.800000E+02    3.996890E-17    3.996890E-17
6.900000E+02    3.872210E-17    3.872210E-17
7.000000E+02    3.826380E-17    3.826380E-17
7.100000E+02    3.830040E-17    3.830040E-17
7.200000E+02    3.800840E-17    3.800840E-17
7.300000E+02    3.828430E-17    3.828430E-17
7.400000E+02    3.838310E-17    3.838310E-17
7.500000E+02    3.918360E-17    3.918360E-17
7.600000E+02    4.040730E-17    4.040730E-17
7.700000E+02    4.162030E-17    4.162030E-17
7.800000E+02    4.296960E-17    4.296960E-17
7.900000E+02    4.445290E-17    4.445290E-17
8.000000E+02    4.628520E-17    4.628520E-17
8.100000E+02    4.766820E-17    4.766820E-17
8.200000E+02    4.536130E-17    4.536130E-17
8.300000E+02    4.328930E-17    4.328930E-17
8.400000E+02    3.734020E-17    3.734020E-17
8.500000E+02    2.892290E-17    2.892290E-17
8.600000E+02    2.377050E-17    2.377050E-17
8.700000E+02    2.370960E-17    2.370960E-17
8.800000E+02    2.566070E-17    2.566070E-17
8.900000E+02    2.929500E-17    2.929500E-17
9.000000E+02    3.548980E-17    3.548980E-17
9.100000E+02    4.441770E-17    4.441770E-17
9.200000E+02    5.329140E-17    5.329140E-17
9.300000E+02    5.984530E-17    5.984530E-17
9.400000E+02    6.061580E-17    6.061580E-17
9.500000E+02    5.216770E-17    5.216770E-17
9.600000E+02    3.476730E-17    3.476730E-17
9.700000E+02    3.039480E-17    3.039480E-17
9.800000E+02    2.692030E-17    2.692030E-17
9.900000E+02    2.337190E-17    2.337190E-17
1.000000E+03    1.947240E-17    1.947240E-17
1.010000E+03    1.765840E-17    1.765840E-17
1.020000E+03    1.739720E-17    1.739720E-17
1.030000E+03    1.676760E-17    1.676760E-17
1.040000E+03    1.716880E-17    1.716880E-17
1.050000E+03    1.814290E-17    1.814290E-17
1.060000E+03    1.753110E-17    1.753110E-17
1.070000E+03    1.735860E-17    1.735860E-17
1.080000E+03    1.708240E-17    1.708240E-17
1.090000E+03    1.663680E-17    1.663680E-17
1.100000E+03    1.659270E-17    1.659270E-17
1.110000E+03    1.715760E-17    1.715760E-17
1.120000E+03    1.732220E-17    1.732220E-17
1.130000E+03    1.710230E-17    1.710230E-17
1.140000E+03    1.742400E-17    1.742400E-17
1.150000E+03    1.784780E-17    1.784780E-17
1.160000E+03    1.668780E-17    1.668780E-17
1.170000E+03    1.823020E-17    1.823020E-17
1.180000E+03    1.515910E-17    1.515910E-17
1.190000E+03    1.688130E-17    1.688130E-17
1.200000E+03    1.256040E-17    1.256040E-17
1.210000E+03    1.781400E-17    1.781400E-17
1.220000E+03    1.755190E-17    1.755190E-17
1.230000E+03    1.355100E-17    1.355100E-17
1.240000E+03    9.042580E-18    9.042580E-18
1.250000E+03    1.463180E-17    1.463180E-17
1.260000E+03    1.264900E-17    1.264900E-17
1.270000E+03    1.554220E-17    1.554220E-17
1.280000E+03    3.703950E-17    3.703950E-17
1.290000E+03    1.615810E-17    1.615810E-17
1.300000E+03    8.248340E-18    8.248340E-18
1.310000E+03    6.632730E-18    6.632730E-18
1.320000E+03    5.308100E-18    5.308100E-18
1.330000E+03    8.506140E-18    8.506140E-18
1.340000E+03    1.230480E-17    1.230480E-17
1.350000E+03    1.194260E-17    1.194260E-17
1.360000E+03    1.720310E-17    1.720310E-17
1.370000E+03    1.919550E-17    1.919550E-17
1.380000E+03    1.226930E-17    1.226930E-17
1.390000E+03    1.989200E-17    1.989200E-17
1.400000E+03    8.957920E-18    8.957920E-18
1.410000E+03    7.226530E-18    7.226530E-18
1.420000E+03    5.972690E-18    5.972690E-18
1.430000E+03    5.146770E-18    5.146770E-18
1.440000E+03    4.866470E-18    4.866470E-18
1.450000E+03    5.001020E-18    5.001020E-18
1.460000E+03    6.607120E-18    6.607120E-18
1.470000E+03    6.526100E-18    6.526100E-18
1.480000E+03    6.813030E-18    6.813030E-18
1.490000E+03    1.457550E-17    1.457550E-17
1.500000E+03    1.281230E-17    1.281230E-17
1.510000E+03    3.041250E-17    3.041250E-17
1.520000E+03    4.086740E-17    4.086740E-17
1.530000E+03    1.500770E-17    1.500770E-17
1.540000E+03    1.674200E-17    1.674200E-17
1.550000E+03    2.550270E-17    2.550270E-17
1.560000E+03    3.635880E-18    3.635880E-18
1.570000E+03    1.099930E-18    1.099930E-18
1.580000E+03    6.651570E-19    6.651570E-19
1.590000E+03    5.040520E-19    5.040520E-19
1.600000E+03    4.719730E-19    4.719730E-19
1.610000E+03    6.139890E-19    6.139890E-19
1.620000E+03    8.090940E-19    8.090940E-19
1.630000E+03    7.934820E-19    7.934820E-19
1.640000E+03    8.470220E-19    8.470220E-19
1.650000E+03    1.193630E-18    1.193630E-18
1.660000E+03    1.926100E-18    1.926100E-18
1.670000E+03    2.555050E-18    2.555050E-18
1.680000E+03    2.469120E-18    2.469120E-18
1.690000E+03    2.310670E-18    2.310670E-18
1.700000E+03    3.624420E-18    3.624420E-18
1.710000E+03    8.274520E-18    8.274520E-18
1.720000E+03    1.359710E-17    1.359710E-17
1.730000E+03    2.070450E-17    2.070450E-17
1.740000E+03    2.819890E-17    2.819890E-17
1.750000E+03    1.097230E-17    1.097230E-17
1.760000E+03    2.013460E-18    2.013460E-18
1.770000E+03    6.138840E-19    6.138840E-19
1.780000E+03    2.999180E-19    2.999180E-19
1.790000E+03    1.629000E-19    1.629000E-19
1.800000E+03    8.365440E-20    8.365440E-20
1.810000E+03    4.640840E-20    4.640840E-20
1.820000E+03    3.412470E-20    3.412470E-20
1.830000E+03    4.865170E-20    4.865170E-20
1.840000E+03    1.226070E-20    1.226070E-20
1.850000E+03    2.943610E-20    2.943610E-20
1.860000E+03    1.443820E-20    1.443820E-20
1.870000E+03    3.947650E-20    3.947650E-20
1.880000E+03    5.194100E-21    5.194100E-21
1.890000E+03    2.618380E-22    2.618380E-22
1.900000E+03    1.682530E-23    1.682530E-23
1.910000E+03    1.369420E-24    1.369420E-24
1.920000E+03    1.402790E-25    1.402790E-25
1.930000E+03    1.797030E-26    1.797030E-26
1.940000E+03    2.860450E-27    2.860450E-27
1.950000E+03    5.620880E-28    5.620880E-28
1.960000E+03    1.354580E-28    1.354580E-28
1.970000E+03    3.976780E-29    3.976780E-29
1.980000E+03    1.412610E-29    1.412610E-29
1.990000E+03    6.029250E-30    6.029250E-30
2.000000E+03    3.070330E-30    3.070330E-30
2.010000E+03    1.852110E-30    1.852110E-30
2.020000E+03    1.313860E-30    1.313860E-30
2.030000E+03    1.088030E-30    1.088030E-30
2.040000E+03    1.044040E-30    1.044040E-30
2.050000E+03    1.152280E-30    1.152280E-30
2.060000E+03    1.451860E-30    1.451860E-30
2.070000E+03    2.072980E-30    2.072980E-30
2.080000E+03    3.329330E-30    3.329330E-30
2.090000E+03    5.970540E-30    5.970540E-30
2.100000E+03    1.186830E-29    1.186830E-29
2.110000E+03    2.596140E-29    2.596140E-29
2.120000E+03    6.204400E-29    6.204400E-29
2.130000E+03    1.608410E-28    1.608410E-28
2.140000E+03    4.490840E-28    4.490840E-28
2.150000E+03    1.340990E-27    1.340990E-27
2.160000E+03    4.252500E-27    4.252500E-27
2.170000E+03    1.422160E-26    1.422160E-26
2.180000E+03    4.981070E-26    4.981070E-26
2.190000E+03    1.814530E-25    1.814530E-25
2.200000E+03    6.827830E-25    6.827830E-25
2.210000E+03    2.635740E-24    2.635740E-24
2.220000E+03    1.036710E-23    1.036710E-23
2.230000E+03    4.126580E-23    4.126580E-23
