HCL_JPL06.abs
Air:  
Temp: 
Angstroms       XS
1.350000E+02    1.230000E-18
1.375000E+02    1.520000E-18
1.400000E+02    2.050000E-18
1.425000E+02    2.380000E-18
1.450000E+02    2.790000E-18
1.475000E+02    3.110000E-18
1.500000E+02    3.340000E-18
1.525000E+02    3.420000E-18
1.550000E+02    3.430000E-18
1.575000E+02    3.270000E-18
1.600000E+02    3.060000E-18
1.625000E+02    2.730000E-18
1.650000E+02    2.400000E-18
1.675000E+02    1.990000E-18
1.700000E+02    1.630000E-18
1.725000E+02    1.360000E-18
1.750000E+02    1.060000E-18
1.775000E+02    7.960000E-19
1.800000E+02    5.890000E-19
1.825000E+02    4.230000E-19
1.850000E+02    2.940000E-19
1.875000E+02    2.030000E-19
1.900000E+02    1.380000E-19
1.950000E+02    5.960000E-20
2.000000E+02    2.390000E-20
2.050000E+02    9.030000E-21
2.100000E+02    3.100000E-21
2.150000E+02    1.010000E-21
2.200000E+02    3.000000E-22
2.250000E+02    1.000000E-22
2.300000E+02    3.400000E-23
