HCN
Air:  
Temp:           100K            300K       
Angstroms       XS
8.000000E+02    4.448220E-17    4.972270E-17 
8.100000E+02    4.347410E-17    4.960120E-17 
8.200000E+02    4.074090E-17    4.625560E-17 
8.300000E+02    3.748480E-17    4.251290E-17 
8.400000E+02    3.380700E-17    3.757380E-17 
8.500000E+02    3.055670E-17    3.037150E-17 
8.600000E+02    2.726370E-17    2.768290E-17 
8.700000E+02    2.577300E-17    2.513040E-17 
8.800000E+02    2.486870E-17    2.359750E-17 
8.900000E+02    2.543760E-17    2.566220E-17 
9.000000E+02    2.666470E-17    2.346780E-17 
9.100000E+02    2.783980E-17    2.419090E-17 
9.200000E+02    2.781490E-17    2.384030E-17 
9.300000E+02    2.868480E-17    2.464240E-17 
9.400000E+02    3.021010E-17    2.633580E-17 
9.500000E+02    3.003470E-17    2.496080E-17 
9.600000E+02    2.339520E-17    1.861190E-17 
9.700000E+02    3.885670E-17    3.443090E-17 
9.800000E+02    3.969200E-17    3.580980E-17 
9.900000E+02    2.820460E-17    2.407760E-17 
1.000000E+03    3.222040E-17    2.785020E-17 
1.010000E+03    2.689010E-17    2.290510E-17 
1.020000E+03    3.394940E-17    2.924490E-17 
1.030000E+03    3.128600E-17    2.794590E-17 
1.040000E+03    3.112480E-17    2.812470E-17 
1.050000E+03    3.261150E-17    2.914150E-17 
1.060000E+03    3.239490E-17    2.777310E-17 
1.070000E+03    5.935340E-17    5.581020E-17 
1.080000E+03    3.965860E-17    3.595160E-17 
1.090000E+03    3.343770E-17    2.969160E-17 
1.100000E+03    3.006010E-17    2.572710E-17 
1.110000E+03    3.710380E-17    3.494080E-17 
1.120000E+03    7.588050E-17    7.793220E-17 
1.130000E+03    5.066480E-17    5.157770E-17 
1.140000E+03    5.021200E-17    5.111020E-17 
1.150000E+03    4.417080E-17    4.330730E-17 
1.160000E+03    3.345170E-17    3.252900E-17 
1.170000E+03    1.973130E-17    2.013590E-17 
1.180000E+03    2.828500E-17    2.912190E-17 
1.190000E+03    2.828620E-17    2.980210E-17 
1.200000E+03    2.316700E-17    2.455470E-17 
1.210000E+03    3.509770E-17    3.655950E-17 
1.220000E+03    2.457670E-17    2.553240E-17 
1.230000E+03    1.171940E-17    1.239370E-17 
1.240000E+03    3.874760E-18    4.388730E-18 
1.250000E+03    1.523490E-18    1.889960E-18 
1.260000E+03    6.499920E-19    1.238650E-18 
1.270000E+03    5.546250E-19    1.266930E-18 
1.280000E+03    7.972480E-19    1.598270E-18 
1.290000E+03    8.466450E-19    1.529460E-18 
1.300000E+03    1.486960E-18    2.176080E-18 
1.310000E+03    2.298870E-18    2.698010E-18 
1.320000E+03    2.557200E-18    2.888450E-18 
1.330000E+03    3.031310E-18    3.549990E-18 
1.340000E+03    3.143060E-18    3.605150E-18 
1.350000E+03    4.451630E-18    4.834460E-18 
1.360000E+03    5.862180E-18    6.067580E-18 
1.370000E+03    1.542680E-18    2.152980E-18 
1.380000E+03    5.976380E-18    6.127620E-18 
1.390000E+03    6.138620E-18    6.307110E-18 
1.400000E+03    1.608960E-18    1.623810E-18 
1.410000E+03    5.374570E-18    5.670740E-18 
1.420000E+03    1.962920E-18    2.228880E-18 
1.430000E+03    2.100550E-18    2.466740E-18 
1.440000E+03    1.868930E-18    2.423910E-18 
1.450000E+03    2.297340E-19    7.660060E-19 
1.460000E+03    1.184930E-18    1.628320E-18 
1.470000E+03    2.466980E-19    5.833340E-19 
1.480000E+03    7.426540E-19    9.812470E-19 
1.490000E+03    3.651260E-19    3.400030E-19 
1.500000E+03    7.159680E-19    6.475580E-19 
1.510000E+03    3.566910E-19    3.058390E-19 
1.520000E+03    3.758860E-19    3.763220E-19 
1.530000E+03    3.085790E-19    3.085790E-19 
1.540000E+03    3.072040E-19    3.072040E-19 
1.550000E+03    2.692740E-19    2.692740E-19 
1.560000E+03    2.425050E-19    2.425050E-19 
1.570000E+03    2.808120E-19    2.808120E-19 
1.580000E+03    2.104170E-19    2.104170E-19 
1.590000E+03    2.567070E-19    2.567070E-19 
1.600000E+03    1.797410E-19    1.797410E-19 
1.610000E+03    2.435310E-19    2.435310E-19 
1.620000E+03    1.555360E-19    1.555360E-19 
1.630000E+03    2.123020E-19    2.123020E-19 
1.640000E+03    1.416480E-19    1.416480E-19 
1.650000E+03    2.044570E-19    2.044570E-19 
1.660000E+03    1.115690E-19    1.115690E-19 
1.670000E+03    1.750620E-19    1.750620E-19 
1.680000E+03    8.095400E-20    8.095400E-20 
1.690000E+03    1.436530E-19    1.436530E-19 
1.700000E+03    6.682890E-20    6.682890E-20 
1.710000E+03    1.207190E-19    1.207190E-19 
1.720000E+03    6.676560E-20    6.676560E-20 
1.730000E+03    7.325550E-20    7.325550E-20 
1.740000E+03    6.856570E-20    6.856570E-20 
1.750000E+03    3.917800E-20    3.917800E-20 
1.760000E+03    6.190750E-20    6.190750E-20 
1.770000E+03    3.959740E-20    3.959740E-20 
1.780000E+03    3.501030E-20    3.501030E-20 
1.790000E+03    2.749090E-20    2.749090E-20 
1.800000E+03    1.929850E-20    1.929850E-20 
1.810000E+03    2.364440E-20    2.364440E-20 
1.820000E+03    1.195090E-20    1.195090E-20 
1.830000E+03    6.929090E-21    6.929090E-21 
1.840000E+03    9.551440E-21    9.551440E-21 
