Nitrous Acid (HNO2) dissociation cross-sections built from alinc file
Air:
Temp:           300K
Angstroms       XS
1.176500E+03    8.295400E-23
1.177900E+03    8.540000E-23
1.179200E+03    8.773500E-23
1.180600E+03    9.032200E-23
1.182000E+03    9.298500E-23
1.183400E+03    9.572700E-23
1.184800E+03    9.854900E-23
1.186200E+03    1.014500E-22
1.187600E+03    1.044500E-22
1.189100E+03    1.077500E-22
1.190500E+03    1.109300E-22
1.191900E+03    1.142000E-22
1.193300E+03    1.175600E-22
1.194700E+03    1.210300E-22
1.196200E+03    1.248600E-22
1.197600E+03    1.285400E-22
1.199000E+03    1.323300E-22
1.200500E+03    1.363800E-22
1.201900E+03    1.400200E-22
1.203400E+03    1.440400E-22
1.204800E+03    1.478800E-22
1.206300E+03    1.521200E-22
1.207700E+03    1.561800E-22
1.209200E+03    1.606600E-22
1.210700E+03    1.652600E-22
1.212100E+03    1.696700E-22
1.213600E+03    1.745300E-22
1.215100E+03    1.795300E-22
1.216500E+03    1.843300E-22
1.218000E+03    1.896100E-22
1.219500E+03    1.950400E-22
1.221000E+03    2.006300E-22
1.222500E+03    2.063800E-22
1.224000E+03    2.122900E-22
1.225500E+03    2.183700E-22
1.227000E+03    2.246300E-22
1.228500E+03    2.310600E-22
1.230000E+03    2.376800E-22
1.231500E+03    2.444900E-22
1.233000E+03    2.514900E-22
1.234600E+03    2.591800E-22
1.236100E+03    2.666100E-22
1.237600E+03    2.742500E-22
1.239200E+03    2.826300E-22
1.240700E+03    2.907300E-22
1.242200E+03    2.990600E-22
1.243800E+03    3.082000E-22
1.245300E+03    3.170300E-22
1.246900E+03    3.267300E-22
1.248400E+03    3.360900E-22
1.250000E+03    3.463700E-22
1.251600E+03    3.569600E-22
1.253100E+03    3.671900E-22
1.254700E+03    3.784200E-22
1.256300E+03    3.899900E-22
1.257900E+03    4.019200E-22
1.259400E+03    4.134300E-22
1.261000E+03    4.260800E-22
1.262600E+03    4.391100E-22
1.264200E+03    4.525400E-22
1.265800E+03    4.663800E-22
1.267400E+03    4.806500E-22
1.269000E+03    4.953500E-22
