HO2NO2_JPL06.abs
Air:  
Temp: 
Angstroms       XS
1.900000E+03    1.010000E-17
1.950000E+03    8.160000E-18
2.000000E+03    5.630000E-18
2.050000E+03    3.670000E-18
2.100000E+03    2.390000E-18
2.150000E+03    1.610000E-18
2.200000E+03    1.180000E-18
2.250000E+03    9.350000E-19
2.300000E+03    7.920000E-19
2.350000E+03    6.830000E-19
2.400000E+03    5.810000E-19
2.450000E+03    4.900000E-19
2.500000E+03    4.130000E-19
2.550000E+03    3.500000E-19
2.600000E+03    2.850000E-19
2.650000E+03    2.300000E-19
2.700000E+03    1.810000E-19
2.750000E+03    1.340000E-19
2.800000E+03    9.290000E-20
2.820000E+03    8.110000E-20
2.840000E+03    6.930000E-20
2.860000E+03    5.860000E-20
2.880000E+03    4.910000E-20
2.900000E+03    3.950000E-20
2.920000E+03    3.370000E-20
2.940000E+03    2.780000E-20
2.960000E+03    2.300000E-20
2.980000E+03    1.910000E-20
3.000000E+03    1.520000E-20
3.020000E+03    1.280000E-20
3.040000E+03    1.050000E-20
3.060000E+03    8.530000E-21
3.080000E+03    7.020000E-21
3.100000E+03    5.510000E-21
3.120000E+03    4.650000E-21
3.140000E+03    3.800000E-21
3.160000E+03    3.130000E-21
3.180000E+03    2.650000E-21
3.200000E+03    2.160000E-21
3.220000E+03    1.840000E-21
3.240000E+03    1.520000E-21
3.260000E+03    1.280000E-21
3.280000E+03    1.100000E-21
3.300000E+03    9.260000E-22
3.320000E+03    7.880000E-22
3.340000E+03    6.500000E-22
3.360000E+03    5.400000E-22
3.380000E+03    4.560000E-22
3.400000E+03    3.720000E-22
3.420000E+03    3.200000E-22
3.440000E+03    2.680000E-22
3.460000E+03    2.280000E-22
3.480000E+03    1.980000E-22
3.500000E+03    1.680000E-22
