HOCL_JPL06.abs
Air:  
Temp: 
Angstroms       XS
2.000000E+03    7.180000E-20
2.020000E+03    6.390000E-20
2.040000E+03    5.810000E-20
2.060000E+03    5.460000E-20
2.080000E+03    5.370000E-20
2.100000E+03    5.540000E-20
2.120000E+03    5.980000E-20
2.140000E+03    6.680000E-20
2.160000E+03    7.630000E-20
2.180000E+03    8.810000E-20
2.200000E+03    1.020000E-19
2.220000E+03    1.160000E-19
2.240000E+03    1.320000E-19
2.260000E+03    1.470000E-19
2.280000E+03    1.620000E-19
2.300000E+03    1.750000E-19
2.320000E+03    1.870000E-19
2.340000E+03    1.960000E-19
2.360000E+03    2.020000E-19
2.380000E+03    2.050000E-19
2.400000E+03    2.060000E-19
2.420000E+03    2.030000E-19
2.440000E+03    1.980000E-19
2.460000E+03    1.900000E-19
2.480000E+03    1.810000E-19
2.500000E+03    1.700000E-19
2.520000E+03    1.580000E-19
2.540000E+03    1.460000E-19
2.560000E+03    1.330000E-19
2.580000E+03    1.210000E-19
2.600000E+03    1.090000E-19
2.620000E+03    9.730000E-20
2.640000E+03    8.680000E-20
2.660000E+03    7.750000E-20
2.680000E+03    6.940000E-20
2.700000E+03    6.250000E-20
2.720000E+03    5.690000E-20
2.740000E+03    5.260000E-20
2.760000E+03    4.940000E-20
2.780000E+03    4.740000E-20
2.800000E+03    4.640000E-20
2.820000E+03    4.620000E-20
2.840000E+03    4.680000E-20
2.860000E+03    4.790000E-20
2.880000E+03    4.950000E-20
2.900000E+03    5.130000E-20
2.920000E+03    5.330000E-20
2.940000E+03    5.520000E-20
2.960000E+03    5.710000E-20
2.980000E+03    5.860000E-20
3.000000E+03    5.990000E-20
3.020000E+03    6.080000E-20
3.040000E+03    6.120000E-20
3.060000E+03    6.120000E-20
3.080000E+03    6.070000E-20
3.100000E+03    5.970000E-20
3.120000E+03    5.840000E-20
3.140000E+03    5.660000E-20
3.160000E+03    5.450000E-20
3.180000E+03    5.210000E-20
3.200000E+03    4.950000E-20
3.220000E+03    4.670000E-20
3.240000E+03    4.380000E-20
3.260000E+03    4.090000E-20
3.280000E+03    3.790000E-20
3.300000E+03    3.500000E-20
3.320000E+03    3.210000E-20
3.340000E+03    2.940000E-20
3.360000E+03    2.680000E-20
3.380000E+03    2.440000E-20
3.400000E+03    2.220000E-20
3.420000E+03    2.020000E-20
3.440000E+03    1.840000E-20
3.460000E+03    1.690000E-20
3.480000E+03    1.550000E-20
3.500000E+03    1.430000E-20
3.520000E+03    1.330000E-20
3.540000E+03    1.240000E-20
3.560000E+03    1.170000E-20
3.580000E+03    1.110000E-20
3.600000E+03    1.060000E-20
3.620000E+03    1.020000E-20
3.640000E+03    9.850000E-21
3.660000E+03    9.510000E-21
3.680000E+03    9.190000E-21
3.700000E+03    8.880000E-21
3.720000E+03    8.550000E-21
3.740000E+03    8.220000E-21
3.760000E+03    7.860000E-21
3.780000E+03    7.480000E-21
3.800000E+03    7.080000E-21
3.820000E+03    6.670000E-21
3.840000E+03    6.240000E-21
3.860000E+03    5.800000E-21
3.880000E+03    5.350000E-21
3.900000E+03    4.910000E-21
3.920000E+03    4.470000E-21
3.940000E+03    4.050000E-21
3.960000E+03    3.640000E-21
3.980000E+03    3.250000E-21
4.000000E+03    2.880000E-21
4.020000E+03    2.540000E-21
4.040000E+03    2.220000E-21
4.060000E+03    1.940000E-21
4.080000E+03    1.680000E-21
4.100000E+03    1.440000E-21
4.120000E+03    1.240000E-21
4.140000E+03    1.050000E-21
4.160000E+03    8.900000E-22
4.180000E+03    7.500000E-22
4.200000E+03    6.300000E-22
