N2
Air:  
Temp:           300K 
Angstroms       XS
1.000000E+01    7.840330E-20
2.000000E+01    1.163790E-19
3.000000E+01    1.458530E-19
4.000000E+01    1.900350E-19
5.000000E+01    2.902270E-19
6.000000E+01    4.480170E-19
7.000000E+01    6.327670E-19
8.000000E+01    8.317810E-19
9.000000E+01    1.060620E-18
1.000000E+02    1.352080E-18
1.100000E+02    1.673840E-18
1.200000E+02    2.057170E-18
1.300000E+02    2.434930E-18
1.400000E+02    2.859030E-18
1.500000E+02    3.339350E-18
1.600000E+02    3.800090E-18
1.700000E+02    4.346000E-18
1.800000E+02    4.925970E-18
1.900000E+02    5.623970E-18
2.000000E+02    6.494500E-18
2.100000E+02    7.340050E-18
2.200000E+02    8.053300E-18
2.300000E+02    8.963070E-18
2.400000E+02    9.582150E-18
2.500000E+02    1.001450E-17
2.600000E+02    1.025930E-17
2.700000E+02    1.063600E-17
2.800000E+02    1.088090E-17
2.900000E+02    1.123820E-17
3.000000E+02    1.169160E-17
3.100000E+02    1.224800E-17
3.200000E+02    1.312650E-17
3.300000E+02    1.365850E-17
3.400000E+02    1.491250E-17
3.500000E+02    1.597950E-17
3.600000E+02    1.672610E-17
3.700000E+02    1.771880E-17
3.800000E+02    1.865250E-17
3.900000E+02    1.965790E-17
4.000000E+02    2.073270E-17
4.100000E+02    2.179270E-17
4.200000E+02    2.237790E-17
4.300000E+02    2.296000E-17
4.400000E+02    2.326580E-17
4.500000E+02    2.316770E-17
4.600000E+02    2.320560E-17
4.700000E+02    2.354330E-17
4.800000E+02    2.375180E-17
4.900000E+02    2.378470E-17
5.000000E+02    2.387780E-17
5.100000E+02    2.469650E-17
5.200000E+02    2.554490E-17
5.300000E+02    2.542090E-17
5.400000E+02    2.446350E-17
5.500000E+02    2.492980E-17
5.600000E+02    2.387500E-17
5.700000E+02    2.315280E-17
5.800000E+02    2.299890E-17
5.900000E+02    2.308960E-17
6.000000E+02    2.322550E-17
6.100000E+02    2.358190E-17
6.200000E+02    2.385790E-17
6.300000E+02    2.409330E-17
6.400000E+02    2.469460E-17
6.500000E+02    2.490580E-17
6.600000E+02    2.511230E-17
6.700000E+02    2.493680E-17
6.800000E+02    2.518110E-17
6.900000E+02    2.623420E-17
7.000000E+02    2.366730E-17
7.100000E+02    2.382450E-17
7.200000E+02    3.193730E-17
7.300000E+02    2.252750E-17
7.400000E+02    2.418340E-17
7.500000E+02    2.595840E-17
7.600000E+02    2.823680E-17
7.700000E+02    3.205720E-17
7.800000E+02    3.445650E-17
7.900000E+02    2.632140E-17
8.000000E+02    2.272130E-17
8.100000E+02    1.984070E-17
8.200000E+02    1.326380E-17
8.300000E+02    1.158670E-17
8.400000E+02    1.465070E-17
8.500000E+02    3.101510E-17
8.600000E+02    4.391630E-17
8.700000E+02    6.722780E-17
8.800000E+02    5.865580E-17
8.900000E+02    4.007800E-17
9.000000E+02    2.673290E-17
9.100000E+02    3.171100E-17
9.200000E+02    3.254890E-17
9.300000E+02    4.779510E-17
9.400000E+02    3.589990E-17
9.500000E+02    3.786660E-16
9.600000E+02    2.222000E-16
9.700000E+02    1.279740E-16
9.800000E+02    2.717180E-17
9.900000E+02    4.452600E-18
1.000000E+03    2.260440E-19
1.010000E+03    4.651470E-19
1.020000E+03    3.323600E-20
1.030000E+03    7.519060E-22
1.040000E+03    6.684260E-22
1.050000E+03    5.804790E-22
1.060000E+03    5.041040E-22
1.070000E+03    4.377770E-22
1.080000E+03    3.801780E-22
1.090000E+03    3.301570E-22
1.100000E+03    2.867170E-22
1.110000E+03    2.489930E-22
1.120000E+03    2.162320E-22
1.130000E+03    1.877820E-22
1.140000E+03    1.630750E-22
1.150000E+03    1.416180E-22
1.160000E+03    1.229850E-22
1.170000E+03    1.068040E-22
1.180000E+03    9.275120E-23
1.190000E+03    8.054760E-23
1.200000E+03    6.994970E-23
