N2H4
Air:  
Temp:           300K 
Angstroms       XS
1.910000E+03    4.278200E-18
1.920000E+03    4.360530E-18
1.930000E+03    4.663140E-18
1.940000E+03    4.672560E-18
1.950000E+03    4.597180E-18
1.960000E+03    4.569080E-18
1.970000E+03    4.387220E-18
1.980000E+03    4.240030E-18
1.990000E+03    4.083470E-18
2.000000E+03    3.934900E-18
2.010000E+03    3.761050E-18
2.020000E+03    3.548620E-18
2.030000E+03    3.396040E-18
2.040000E+03    3.257490E-18
2.050000E+03    3.115430E-18
2.060000E+03    2.980670E-18
2.070000E+03    2.864450E-18
2.080000E+03    2.743420E-18
2.090000E+03    2.641050E-18
2.100000E+03    2.532590E-18
2.110000E+03    2.445040E-18
2.120000E+03    2.358300E-18
2.130000E+03    2.248940E-18
2.140000E+03    2.161060E-18
2.150000E+03    2.038660E-18
2.160000E+03    1.953220E-18
2.170000E+03    1.859510E-18
2.180000E+03    1.737870E-18
2.190000E+03    1.639440E-18
2.200000E+03    1.516890E-18
2.210000E+03    1.416330E-18
2.220000E+03    1.303730E-18
2.230000E+03    1.178760E-18
2.240000E+03    1.092960E-18
2.250000E+03    9.773000E-19
2.260000E+03    8.888070E-19
2.270000E+03    8.032950E-19
2.280000E+03    7.088540E-19
2.290000E+03    6.505850E-19
2.300000E+03    5.719860E-19
2.310000E+03    5.001530E-19
2.320000E+03    4.545890E-19
2.330000E+03    3.992240E-19
2.340000E+03    3.479930E-19
2.350000E+03    3.123760E-19
2.360000E+03    2.726250E-19
2.370000E+03    2.368510E-19
2.380000E+03    2.104930E-19
2.390000E+03    1.872550E-19
2.400000E+03    1.619590E-19
2.410000E+03    1.421120E-19
2.420000E+03    1.268830E-19
2.430000E+03    1.104760E-19
2.440000E+03    9.670570E-20
2.450000E+03    8.463080E-20
2.460000E+03    7.520830E-20
2.470000E+03    6.558130E-20
2.480000E+03    5.721380E-20
2.490000E+03    4.992090E-20
2.500000E+03    4.416120E-20
2.510000E+03    3.888060E-20
2.520000E+03    3.359060E-20
2.530000E+03    2.913360E-20
2.540000E+03    2.621950E-20
2.550000E+03    2.271540E-20
2.560000E+03    1.917110E-20
2.570000E+03    1.638880E-20
2.580000E+03    1.478020E-20
2.590000E+03    1.272430E-20
2.600000E+03    1.056340E-20
2.610000E+03    9.006150E-21
2.620000E+03    8.265230E-21
2.630000E+03    7.095470E-21
2.640000E+03    5.854470E-21
2.650000E+03    4.914050E-21
2.660000E+03    4.520610E-21
2.670000E+03    3.978000E-21
2.680000E+03    3.262950E-21
2.690000E+03    2.702510E-21
2.700000E+03    2.377740E-21
2.710000E+03    2.218530E-21
2.720000E+03    1.851870E-21
2.730000E+03    1.533520E-21
2.740000E+03    1.302060E-21
2.750000E+03    1.204660E-21
2.760000E+03    1.081590E-21
2.770000E+03    8.984370E-22
2.780000E+03    7.520920E-22
2.790000E+03    6.582150E-22
2.800000E+03    6.277100E-22
2.810000E+03    5.435090E-22
2.820000E+03    4.517550E-22
2.830000E+03    3.995780E-22
2.840000E+03    3.490610E-22
2.850000E+03    3.230230E-22
2.860000E+03    2.752050E-22
2.870000E+03    2.303940E-22
2.880000E+03    2.080700E-22
2.890000E+03    1.840030E-22
2.900000E+03    1.572830E-22
