N2O_JPL06.abs
Air:  
Temp: 
Angstroms       XS
1.600000E+02    4.300000E-20
1.650000E+02    5.610000E-20
1.700000E+02    8.300000E-20
1.730000E+02    1.130000E-19
1.740000E+02    1.190000E-19
1.750000E+02    1.260000E-19
1.760000E+02    1.340000E-19
1.770000E+02    1.400000E-19
1.780000E+02    1.390000E-19
1.790000E+02    1.440000E-19
1.800000E+02    1.460000E-19
1.810000E+02    1.460000E-19
1.820000E+02    1.470000E-19
1.830000E+02    1.460000E-19
1.840000E+02    1.440000E-19
1.850000E+02    1.430000E-19
1.860000E+02    1.360000E-19
1.870000E+02    1.310000E-19
1.880000E+02    1.250000E-19
1.890000E+02    1.170000E-19
1.900000E+02    1.110000E-19
1.910000E+02    1.040000E-19
1.920000E+02    9.750000E-20
1.930000E+02    8.950000E-20
1.940000E+02    8.110000E-20
1.950000E+02    7.570000E-20
1.960000E+02    6.820000E-20
1.970000E+02    6.100000E-20
1.980000E+02    5.350000E-20
1.990000E+02    4.700000E-20
2.000000E+02    4.090000E-20
2.010000E+02    3.580000E-20
2.020000E+02    3.090000E-20
2.030000E+02    2.670000E-20
2.040000E+02    2.300000E-20
2.050000E+02    1.950000E-20
2.060000E+02    1.650000E-20
2.070000E+02    1.380000E-20
2.080000E+02    1.160000E-20
2.090000E+02    9.800000E-21
2.100000E+02    7.550000E-21
2.110000E+02    6.190000E-21
2.120000E+02    5.180000E-21
2.130000E+02    4.210000E-21
2.140000E+02    3.420000E-21
2.150000E+02    2.760000E-21
2.160000E+02    2.230000E-21
2.170000E+02    1.790000E-21
2.180000E+02    1.420000E-21
2.190000E+02    1.150000E-21
2.200000E+02    9.220000E-22
2.210000E+02    7.390000E-22
2.220000E+02    5.880000E-22
2.230000E+02    4.740000E-22
2.240000E+02    3.750000E-22
2.250000E+02    3.030000E-22
2.260000E+02    2.390000E-22
2.270000E+02    1.900000E-22
2.280000E+02    1.510000E-22
2.290000E+02    1.200000E-22
2.300000E+02    9.550000E-23
2.310000E+02    7.600000E-23
2.320000E+02    6.050000E-23
2.330000E+02    4.780000E-23
2.340000E+02    3.600000E-23
2.350000E+02    3.010000E-23
2.360000E+02    2.400000E-23
2.370000E+02    1.910000E-23
2.380000E+02    1.520000E-23
2.390000E+02    1.230000E-23
2.400000E+02    1.010000E-23
