N2O5_JPL06_298.abs
Air:  
Temp: 
Angstroms       XS
2.000000E+03    9.100000E-18
2.020000E+03    8.420000E-18
2.040000E+03    7.710000E-18
2.060000E+03    6.820000E-18
2.080000E+03    5.850000E-18
2.100000E+03    4.450000E-18
2.120000E+03    3.810000E-18
2.140000E+03    3.220000E-18
2.160000E+03    2.670000E-18
2.180000E+03    2.200000E-18
2.200000E+03    1.810000E-18
2.220000E+03    1.510000E-18
2.240000E+03    1.290000E-18
2.260000E+03    1.130000E-18
2.280000E+03    9.840000E-19
2.300000E+03    8.820000E-19
2.320000E+03    8.050000E-19
2.340000E+03    7.400000E-19
2.360000E+03    6.920000E-19
2.380000E+03    6.460000E-19
2.400000E+03    5.980000E-19
2.420000E+03    5.310000E-19
2.440000E+03    4.930000E-19
2.460000E+03    4.560000E-19
2.480000E+03    4.190000E-19
2.500000E+03    3.860000E-19
2.520000E+03    3.550000E-19
2.540000E+03    3.260000E-19
2.560000E+03    2.990000E-19
2.580000E+03    2.750000E-19
2.600000E+03    2.520000E-19
2.620000E+03    2.310000E-19
2.640000E+03    2.110000E-19
2.660000E+03    1.940000E-19
2.680000E+03    1.780000E-19
2.700000E+03    1.620000E-19
2.720000E+03    1.490000E-19
2.740000E+03    1.370000E-19
2.760000E+03    1.240000E-19
2.780000E+03    1.140000E-19
2.800000E+03    1.050000E-19
2.820000E+03    9.590000E-20
2.840000E+03    8.740000E-20
2.860000E+03    7.940000E-20
2.880000E+03    7.200000E-20
2.900000E+03    6.520000E-20
2.920000E+03    5.880000E-20
2.940000E+03    5.290000E-20
2.960000E+03    4.750000E-20
2.980000E+03    4.260000E-20
3.000000E+03    3.810000E-20
3.020000E+03    3.400000E-20
3.040000E+03    3.030000E-20
3.060000E+03    2.700000E-20
3.080000E+03    2.400000E-20
3.100000E+03    2.130000E-20
3.120000E+03    1.900000E-20
3.140000E+03    1.680000E-20
3.160000E+03    1.490000E-20
3.180000E+03    1.330000E-20
3.200000E+03    1.180000E-20
3.220000E+03    1.050000E-20
3.240000E+03    9.300000E-21
3.260000E+03    8.260000E-21
3.280000E+03    7.350000E-21
3.300000E+03    6.540000E-21
3.320000E+03    5.820000E-21
3.340000E+03    5.180000E-21
3.360000E+03    4.620000E-21
3.380000E+03    4.120000E-21
3.400000E+03    3.680000E-21
3.420000E+03    3.280000E-21
3.440000E+03    2.930000E-21
3.460000E+03    2.620000E-21
3.480000E+03    2.340000E-21
3.500000E+03    2.100000E-21
3.520000E+03    1.880000E-21
3.540000E+03    1.670000E-21
3.560000E+03    1.490000E-21
3.580000E+03    1.330000E-21
3.600000E+03    1.200000E-21
3.620000E+03    1.070000E-21
3.640000E+03    9.580000E-22
3.660000E+03    8.520000E-22
3.680000E+03    7.630000E-22
3.700000E+03    6.850000E-22
3.720000E+03    6.130000E-22
3.740000E+03    5.450000E-22
3.760000E+03    4.840000E-22
3.780000E+03    4.310000E-22
3.800000E+03    3.830000E-22
3.820000E+03    3.410000E-22
3.840000E+03    3.050000E-22
3.860000E+03    2.730000E-22
3.880000E+03    2.420000E-22
3.900000E+03    2.150000E-22
3.920000E+03    1.930000E-22
3.940000E+03    1.720000E-22
3.960000E+03    1.500000E-22
3.980000E+03    1.340000E-22
4.000000E+03    1.400000E-22
4.100000E+03    9.000000E-23
4.200000E+03    5.000000E-23
