NH3
Air:  
Temp:           100K              300K 
Angstroms       XS
7.000000E+01    3.468060E-19    3.468060E-19
8.000000E+01    4.461270E-19    4.461270E-19
9.000000E+01    5.551880E-19    5.551880E-19
1.000000E+02    6.894690E-19    6.894690E-19
1.100000E+02    8.386440E-19    8.386440E-19
1.200000E+02    1.010730E-18    1.010730E-18
1.300000E+02    1.219830E-18    1.219830E-18
1.400000E+02    1.456590E-18    1.456590E-18
1.500000E+02    1.729820E-18    1.729820E-18
1.600000E+02    1.971940E-18    1.971940E-18
1.700000E+02    2.317530E-18    2.317530E-18
1.800000E+02    2.676080E-18    2.676080E-18
1.900000E+02    3.009380E-18    3.009380E-18
2.000000E+02    3.375000E-18    3.375000E-18
2.100000E+02    3.742190E-18    3.742190E-18
2.200000E+02    4.246990E-18    4.246990E-18
2.300000E+02    4.729170E-18    4.729170E-18
2.400000E+02    5.237890E-18    5.237890E-18
2.500000E+02    5.791330E-18    5.791330E-18
2.600000E+02    6.272550E-18    6.272550E-18
2.700000E+02    6.798660E-18    6.798660E-18
2.800000E+02    7.369060E-18    7.369060E-18
2.900000E+02    8.078190E-18    8.078190E-18
3.000000E+02    8.741590E-18    8.741590E-18
3.100000E+02    9.240740E-18    9.240740E-18
3.200000E+02    9.869080E-18    9.869080E-18
3.300000E+02    1.039650E-17    1.039650E-17
3.400000E+02    1.115400E-17    1.115400E-17
3.500000E+02    1.196570E-17    1.196570E-17
3.600000E+02    1.259690E-17    1.259690E-17
3.700000E+02    1.339490E-17    1.339490E-17
3.800000E+02    1.420410E-17    1.420410E-17
3.900000E+02    1.484950E-17    1.484950E-17
4.000000E+02    1.575140E-17    1.575140E-17
4.100000E+02    1.683210E-17    1.683210E-17
4.200000E+02    1.733810E-17    1.733810E-17
4.300000E+02    1.816860E-17    1.816860E-17
4.400000E+02    1.884510E-17    1.884510E-17
4.500000E+02    1.959510E-17    1.959510E-17
4.600000E+02    2.023940E-17    2.023940E-17
4.700000E+02    2.091640E-17    2.091640E-17
4.800000E+02    2.162760E-17    2.162760E-17
4.900000E+02    2.230370E-17    2.230370E-17
5.000000E+02    2.305430E-17    2.305430E-17
5.100000E+02    2.387920E-17    2.387920E-17
5.200000E+02    2.456690E-17    2.456690E-17
5.300000E+02    2.505260E-17    2.505260E-17
5.400000E+02    2.575470E-17    2.575470E-17
5.500000E+02    2.622410E-17    2.622410E-17
5.600000E+02    2.682900E-17    2.682900E-17
5.700000E+02    2.720200E-17    2.720200E-17
5.800000E+02    2.777880E-17    2.777880E-17
5.900000E+02    2.816170E-17    2.816170E-17
6.000000E+02    2.868140E-17    2.868140E-17
6.100000E+02    2.917790E-17    2.917790E-17
6.200000E+02    2.961910E-17    2.961910E-17
6.300000E+02    3.008720E-17    3.008720E-17
6.400000E+02    3.054610E-17    3.054610E-17
6.500000E+02    3.095420E-17    3.095420E-17
6.600000E+02    3.121980E-17    3.121980E-17
6.700000E+02    3.176410E-17    3.176410E-17
6.800000E+02    3.193650E-17    3.193650E-17
6.900000E+02    3.212110E-17    3.212110E-17
7.000000E+02    3.257660E-17    3.257660E-17
7.100000E+02    3.264290E-17    3.264290E-17
7.200000E+02    3.266260E-17    3.266260E-17
7.300000E+02    3.274920E-17    3.274920E-17
7.400000E+02    3.287150E-17    3.287150E-17
7.500000E+02    3.309320E-17    3.309320E-17
7.600000E+02    3.302860E-17    3.302860E-17
7.700000E+02    3.291130E-17    3.291130E-17
7.800000E+02    3.280290E-17    3.280290E-17
7.900000E+02    3.282010E-17    3.282010E-17
8.000000E+02    3.252230E-17    3.252230E-17
8.100000E+02    3.190270E-17    3.190270E-17
8.200000E+02    3.089460E-17    3.089460E-17
