# from Johnston et al. 1996 J Phys Cem 100 4713 via JPL-06 recomendation	
# temperature dependent quantum yields x 1000 for
# NO3 + hv -> NO + O2 and NO3+ hv -> NO2 + O
# <585 nm QY(N0)=0 and QY(NO2)=1
# > 641 nm QY' are 0 
#wl    (NO)                 NO2)
#nm    298 K  230 K  190 K  298 K  230 K  190 K
585.0  0.0    0.0    0.0    983.0  996.0  999.0
586.0  15.2   26.4   37.9   967.0  970.0  961.0
587.0  39.1   66.7   94.4   943.0  930.0  905.0
588.0  97.1   161.0  221.0  885.0  836.0  779.0
589.0  128.0  209.0  283.0  854.0  788.0  716.0
590.0  190.0  300.0  397.0  793.0  696.0  602.0
591.0  220.0  343.0  448.0  763.0  653.0  551.0
592.0  249.0  383.0  495.0  734.0  614.0  505.0
593.0  303.0  455.0  575.0  680.0  542.0  424.0
594.0  328.0  487.0  610.0  654.0  510.0  390.0
595.0  359.0  517.0  630.0  608.0  453.0  332.0
596.0  357.0  501.0  598.0  587.0  429.0  307.0
597.0  318.0  430.0  493.0  567.0  406.0  285.0
598.0  323.0  421.0  468.0  531.0  367.0  249.0
599.0  314.0  396.0  429.0  509.0  345.0  229.0
600.0  291.0  346.0  355.0  472.0  307.0  196.0
601.0  296.0  338.0  335.0  438.0  275.0  170.0
602.0  291.0  322.0  310.0  415.0  254.0  153.0
603.0  283.0  294.0  267.0  371.0  215.0  123.0
604.0  280.0  282.0  249.0  351.0  198.0  111.0
605.0  264.0  253.0  213.0  323.0  176.0  94.4
606.0  271.0  251.0  205.0  296.0  155.0  80.0
607.0  268.0  243.0  194.0  280.0  143.0  71.9
608.0  250.0  217.0  167.0  259.0  128.0  62.1
609.0  248.0  208.0  155.0  238.0  113.0  53.0
610.0  236.0  193.0  140.0  226.0  105.0  48.1
611.0  205.0  159.0  111.0  210.0  94.7   42.2
612.0  200.0  150.0  101.0  193.0  84.0   36.2
613.0  190.0  138.0  90.6   181.0  77.3   32.6
614.0  166.0  114.0  71.2   166.0  68.4   28.0
615.0  166.0  110.0  66.1   147.0  58.3   22.9
616.0  160.0  102.0  59.7   137.0  52.7   20.2
617.0  141.0  85.5   47.5   124.0  46.5   17.3
618.0  143.0  83.5   44.8   108.0  38.6   13.8
619.0  139.0  78.4   40.9   99.3   34.6   12.1
620.0  131.0  71.5   36.0   89.7   30.3   10.2
621.0  127.0  66.0   32.0   76.9   24.8   8.03
622.0  122.0  61.9   29.2   70.4   22.1   6.99
623.0  117.0  57.6   26.5   64.3   19.7   6.07
624.0  106.0  49.6   21.9   55.2   16.2   4.8
625.0  98.5   44.5   19.0   48.7   13.8   3.94
626.0  92.3   40.6   16.8   44.2   12.2   3.39
627.0  84.8   36.0   14.5   39.3   10.5   2.83
628.0  73.9   29.9   11.5   33.9   8.67   2.26
629.0  69.9   27.4   10.2   29.4   7.23   1.81
630.0  64.9   24.7   9.01   26.4   6.29   1.53
631.0  57.8   21.3   7.52   23.6   5.45   1.29
632.0  50.8   17.8   6.02   19.5   4.29   0.969
633.0  46.6   15.9   5.23   17.7   3.8    0.838
634.0  42.6   14.2   4.54   16.1   3.36   0.724
635.0  37.3   12.0   3.73   14.6   2.97   0.624
636.0  32.3   9.86   2.93   11.9   2.3    0.462
637.0  29.4   8.7    2.52   10.7   2.02   0.396
638.0  26.6   7.66   2.16   9.57   1.77   0.338
639.0  23.5   6.53   1.78   8.56   1.54   0.288
640.0  20.3   5.38   1.41   7.15   1.24   0.224
