NO3_NO_O2
Air:    
Temp:          298K           230K           190K
Angstroms       QY
5.850000E+03    0.000000E+00    0.000000E+00    0.000000E+00
5.860000E+03    1.520000E+01    2.640000E+01    3.790000E+01
5.870000E+03    3.910000E+01    6.670000E+01    9.440000E+01
5.880000E+03    9.710000E+01    1.610000E+02    2.210000E+02
5.890000E+03    1.280000E+02    2.090000E+02    2.830000E+02
5.900000E+03    1.900000E+02    3.000000E+02    3.970000E+02
5.910000E+03    2.200000E+02    3.430000E+02    4.480000E+02
5.920000E+03    2.490000E+02    3.830000E+02    4.950000E+02
5.930000E+03    3.030000E+02    4.550000E+02    5.750000E+02
5.940000E+03    3.280000E+02    4.870000E+02    6.100000E+02
5.950000E+03    3.590000E+02    5.170000E+02    6.300000E+02
5.960000E+03    3.570000E+02    5.010000E+02    5.980000E+02
5.970000E+03    3.180000E+02    4.300000E+02    4.930000E+02
5.980000E+03    3.230000E+02    4.210000E+02    4.680000E+02
5.990000E+03    3.140000E+02    3.960000E+02    4.290000E+02
6.000000E+03    2.910000E+02    3.460000E+02    3.550000E+02
6.010000E+03    2.960000E+02    3.380000E+02    3.350000E+02
6.020000E+03    2.910000E+02    3.220000E+02    3.100000E+02
6.030000E+03    2.830000E+02    2.940000E+02    2.670000E+02
6.040000E+03    2.800000E+02    2.820000E+02    2.490000E+02
6.050000E+03    2.640000E+02    2.530000E+02    2.130000E+02
6.060000E+03    2.710000E+02    2.510000E+02    2.050000E+02
6.070000E+03    2.680000E+02    2.430000E+02    1.940000E+02
6.080000E+03    2.500000E+02    2.170000E+02    1.670000E+02
6.090000E+03    2.480000E+02    2.080000E+02    1.550000E+02
6.100000E+03    2.360000E+02    1.930000E+02    1.400000E+02
6.110000E+03    2.050000E+02    1.590000E+02    1.110000E+02
6.120000E+03    2.000000E+02    1.500000E+02    1.010000E+02
6.130000E+03    1.900000E+02    1.380000E+02    9.060000E+01
6.140000E+03    1.660000E+02    1.140000E+02    7.120000E+01
6.150000E+03    1.660000E+02    1.100000E+02    6.610000E+01
6.160000E+03    1.600000E+02    1.020000E+02    5.970000E+01
6.170000E+03    1.410000E+02    8.550000E+01    4.750000E+01
6.180000E+03    1.430000E+02    8.350000E+01    4.480000E+01
6.190000E+03    1.390000E+02    7.840000E+01    4.090000E+01
6.200000E+03    1.310000E+02    7.150000E+01    3.600000E+01
6.210000E+03    1.270000E+02    6.600000E+01    3.200000E+01
6.220000E+03    1.220000E+02    6.190000E+01    2.920000E+01
6.230000E+03    1.170000E+02    5.760000E+01    2.650000E+01
6.240000E+03    1.060000E+02    4.960000E+01    2.190000E+01
6.250000E+03    9.850000E+01    4.450000E+01    1.900000E+01
6.260000E+03    9.230000E+01    4.060000E+01    1.680000E+01
6.270000E+03    8.480000E+01    3.600000E+01    1.450000E+01
6.280000E+03    7.390000E+01    2.990000E+01    1.150000E+01
6.290000E+03    6.990000E+01    2.740000E+01    1.020000E+01
6.300000E+03    6.490000E+01    2.470000E+01    9.010000E+00
6.310000E+03    5.780000E+01    2.130000E+01    7.520000E+00
6.320000E+03    5.080000E+01    1.780000E+01    6.020000E+00
6.330000E+03    4.660000E+01    1.590000E+01    5.230000E+00
6.340000E+03    4.260000E+01    1.420000E+01    4.540000E+00
6.350000E+03    3.730000E+01    1.200000E+01    3.730000E+00
6.360000E+03    3.230000E+01    9.860000E+00    2.930000E+00
6.370000E+03    2.940000E+01    8.700000E+00    2.520000E+00
6.380000E+03    2.660000E+01    7.660000E+00    2.160000E+00
6.390000E+03    2.350000E+01    6.530000E+00    1.780000E+00
6.400000E+03    2.030000E+01    5.380000E+00    1.410000E+00
