AllenFrederick1982.coeff
Air:  
Temp: 
Angstroms       XS
9.000000E+00    -1.973600E+01
9.000000E+00    -2.052520E+01
7.000000E+00    -2.081290E+01
8.000000E+00    -2.101410E+01
9.000000E+00    -2.129870E+01
4.000000E+00    -2.153130E+01
4.000000E+00    -2.158310E+01
5.000000E+00    -2.184810E+01
9.000000E+00    -2.200510E+01
5.000000E+00    -2.205530E+01
6.000000E+00    -2.205260E+01
7.000000E+00    -2.228000E+01
5.000000E+00    -2.256150E+01
9.000000E+00    -2.275070E+01
5.000000E+00    -2.483330E+01
2.000000E+00    -2.292540E+01
1.000000E+00    -2.291900E+01
5.000000E+00    -2.507820E+03
5.000000E+00    -2.451490E+03
5.000000E+00    -7.008890E+02
5.000000E+00    -1.943760E+03
5.000000E+00    -1.986570E+03
5.000000E+00    -2.711900E+03
5.000000E+00    -2.431640E+03
3.000000E+00    -3.701960E+01
5.000000E+00    -1.086240E+03
5.000000E+00    -1.213110E+03
3.000000E+00    -8.334570E+01
4.000000E+00    -2.139120E+02
4.000000E+00    -3.281300E+02
5.000000E+00    3.033420E+03
1.000000E+00    -2.535810E+00
1.000000E+00    -4.474940E+00
1.000000E+00    -2.996640E+00
