Yoshino92.abs
Air:  
Temp: 
Angstroms       XS
1.792130E+02    5.361000E-21
1.792160E+02    6.357000E-21
1.792190E+02    3.513000E-21
1.792220E+02    3.767000E-21
1.792250E+02    3.655000E-21
1.792280E+02    4.242000E-21
1.792310E+02    4.576000E-21
1.792340E+02    6.832000E-21
1.792370E+02    7.682000E-21
1.792400E+02    8.364000E-21
1.792400E+02    1.697000E-20
1.792400E+02    1.471000E-20
1.792410E+02    1.475000E-20
1.792410E+02    1.688000E-20
1.792410E+02    1.676000E-20
1.792420E+02    1.508000E-20
1.792420E+02    1.305000E-20
1.792420E+02    1.086000E-20
1.792420E+02    1.020000E-20
1.792430E+02    1.387000E-20
1.792430E+02    1.998000E-20
1.792430E+02    2.433000E-20
1.792440E+02    3.132000E-20
1.792440E+02    4.110000E-20
1.792440E+02    5.043000E-20
1.792440E+02    5.839000E-20
1.792450E+02    6.291000E-20
1.792450E+02    6.674000E-20
1.792450E+02    6.536000E-20
1.792460E+02    5.866000E-20
1.792460E+02    5.092000E-20
1.792460E+02    4.929000E-20
1.792460E+02    4.893000E-20
1.792470E+02    5.271000E-20
1.792470E+02    5.955000E-20
1.792470E+02    7.224000E-20
1.792480E+02    9.171000E-20
1.792480E+02    1.155000E-19
1.792480E+02    1.495000E-19
1.792490E+02    1.871000E-19
1.792490E+02    2.193000E-19
1.792490E+02    2.368000E-19
1.792490E+02    2.295000E-19
1.792500E+02    2.112000E-19
1.792500E+02    1.876000E-19
1.792500E+02    1.825000E-19
1.792510E+02    1.971000E-19
1.792510E+02    2.282000E-19
1.792510E+02    2.742000E-19
1.792520E+02    3.149000E-19
1.792520E+02    3.284000E-19
1.792520E+02    3.227000E-19
1.792520E+02    2.913000E-19
1.792530E+02    2.322000E-19
1.792530E+02    1.783000E-19
1.792530E+02    1.400000E-19
1.792530E+02    1.128000E-19
1.792540E+02    9.522000E-20
1.792540E+02    7.800000E-20
1.792540E+02    6.513000E-20
1.792550E+02    5.997000E-20
1.792550E+02    5.573000E-20
1.792550E+02    5.341000E-20
1.792550E+02    5.063000E-20
1.792560E+02    5.466000E-20
1.792560E+02    6.097000E-20
1.792560E+02    6.480000E-20
1.792570E+02    7.301000E-20
1.792570E+02    9.225000E-20
1.792570E+02    1.217000E-19
1.792580E+02    1.688000E-19
1.792580E+02    2.243000E-19
1.792580E+02    2.747000E-19
1.792580E+02    3.286000E-19
1.792590E+02    3.614000E-19
1.792590E+02    3.518000E-19
1.792590E+02    3.209000E-19
1.792600E+02    2.879000E-19
1.792600E+02    2.604000E-19
1.792600E+02    2.344000E-19
1.792610E+02    2.235000E-19
1.792610E+02    2.228000E-19
1.792610E+02    2.317000E-19
1.792610E+02    2.469000E-19
1.792620E+02    2.602000E-19
1.792620E+02    2.792000E-19
1.792620E+02    2.976000E-19
1.792630E+02    3.054000E-19
1.792630E+02    2.993000E-19
1.792630E+02    2.865000E-19
1.792630E+02    2.714000E-19
1.792640E+02    2.637000E-19
1.792640E+02    2.674000E-19
1.792640E+02    2.752000E-19
1.792650E+02    2.644000E-19
1.792650E+02    2.359000E-19
1.792650E+02    2.030000E-19
1.792650E+02    1.759000E-19
1.792660E+02    1.573000E-19
1.792660E+02    1.453000E-19
1.792660E+02    1.399000E-19
1.792670E+02    1.365000E-19
1.792670E+02    1.330000E-19
1.792670E+02    1.316000E-19
1.792670E+02    1.269000E-19
1.792680E+02    1.151000E-19
1.792680E+02    1.009000E-19
1.792680E+02    8.812000E-20
1.792690E+02    7.397000E-20
1.792690E+02    6.249000E-20
1.792690E+02    6.005000E-20
1.792690E+02    5.995000E-20
1.792700E+02    5.680000E-20
1.792700E+02    5.324000E-20
1.792700E+02    4.913000E-20
1.792710E+02    4.859000E-20
1.792710E+02    4.907000E-20
1.792710E+02    5.200000E-20
1.792710E+02    5.635000E-20
1.792720E+02    6.328000E-20
1.792720E+02    7.080000E-20
1.792720E+02    8.269000E-20
1.792730E+02    9.934000E-20
1.792730E+02    1.187000E-19
1.792730E+02    1.411000E-19
1.792740E+02    1.692000E-19
1.792740E+02    1.874000E-19
1.792740E+02    1.829000E-19
1.792740E+02    1.723000E-19
1.792750E+02    1.564000E-19
1.792750E+02    1.388000E-19
1.792750E+02    1.248000E-19
1.792760E+02    1.130000E-19
1.792760E+02    1.033000E-19
1.792760E+02    9.572000E-20
1.792760E+02    9.430000E-20
1.792770E+02    9.658000E-20
1.792770E+02    1.003000E-19
1.792770E+02    1.069000E-19
1.792780E+02    1.209000E-19
1.792780E+02    1.456000E-19
1.792780E+02    1.824000E-19
1.792790E+02    2.281000E-19
1.792790E+02    2.808000E-19
1.792790E+02    3.308000E-19
1.792790E+02    3.849000E-19
1.792800E+02    4.532000E-19
1.792800E+02    4.914000E-19
1.792800E+02    4.980000E-19
1.792810E+02    4.824000E-19
1.792810E+02    4.671000E-19
1.792810E+02    4.510000E-19
1.792810E+02    4.339000E-19
1.792820E+02    4.155000E-19
1.792820E+02    4.101000E-19
1.792820E+02    4.372000E-19
1.792830E+02    4.758000E-19
1.792830E+02    4.884000E-19
1.792830E+02    4.685000E-19
1.792840E+02    4.303000E-19
1.792840E+02    3.701000E-19
1.792840E+02    3.012000E-19
1.792840E+02    2.475000E-19
1.792850E+02    2.050000E-19
1.792850E+02    1.717000E-19
1.792850E+02    1.515000E-19
1.792850E+02    1.340000E-19
1.792860E+02    1.176000E-19
1.792860E+02    1.075000E-19
1.792860E+02    9.729000E-20
1.792870E+02    8.324000E-20
1.792870E+02    7.379000E-20
1.792870E+02    6.440000E-20
1.792870E+02    5.635000E-20
1.792880E+02    5.006000E-20
1.792880E+02    4.758000E-20
