O3_zahnle.abs
Air:  
Temp: 
Angstroms       XS
1.216000E+03    1.100000E-17
1.300000E+03    1.400000E-17
1.350000E+03    8.000000E-18
1.400000E+03    3.900000E-18
1.450000E+03    2.900000E-18
1.500000E+03    2.000000E-18
1.550000E+03    1.400000E-18
1.600000E+03    1.300000E-18
1.650000E+03    1.100000E-18
1.700000E+03    9.500000E-19
1.754000E+03    8.100000E-19
1.770000E+03    8.000000E-19
1.786000E+03    7.900000E-19
1.802000E+03    7.600000E-19
1.818000E+03    7.300000E-19
1.835000E+03    6.900000E-19
1.852000E+03    6.400000E-19
1.869000E+03    5.900000E-19
1.887000E+03    5.300000E-19
1.905000E+03    4.800000E-19
1.923000E+03    4.400000E-19
1.942000E+03    4.100000E-19
1.961000E+03    3.700000E-19
1.980000E+03    3.300000E-19
2.000000E+03    3.300000E-19
2.020000E+03    3.300000E-19
2.041000E+03    3.500000E-19
2.062000E+03    4.100000E-19
2.083000E+03    4.800000E-19
2.105000E+03    6.300000E-19
2.128000E+03    8.600000E-19
2.151000E+03    1.200000E-18
2.174000E+03    1.500000E-18
2.200000E+03    2.000000E-18
2.222000E+03    2.600000E-18
2.247000E+03    3.200000E-18
2.273000E+03    4.000000E-18
2.299000E+03    4.800000E-18
2.326000E+03    5.800000E-18
2.353000E+03    6.900000E-18
2.381000E+03    8.000000E-18
2.410000E+03    9.000000E-18
2.439000E+03    1.000000E-17
2.469000E+03    1.100000E-17
2.500000E+03    1.100000E-17
2.532000E+03    1.200000E-17
2.564000E+03    1.100000E-17
2.597000E+03    1.100000E-17
2.632000E+03    9.600000E-18
2.667000E+03    8.300000E-18
2.703000E+03    6.900000E-18
2.740000E+03    5.400000E-18
2.778000E+03    3.900000E-18
2.817000E+03    2.700000E-18
2.857000E+03    1.700000E-18
2.899000E+03    1.000000E-18
2.941000E+03    5.900000E-19
2.985000E+03    3.200000E-19
3.030000E+03    1.700000E-19
3.077000E+03    8.700000E-20
3.125000E+03    4.300000E-20
3.175000E+03    2.100000E-20
3.225000E+03    9.400000E-21
3.275000E+03    4.700000E-21
3.325000E+03    2.000000E-21
3.375000E+03    7.800000E-22
3.425000E+03    3.000000E-22
3.450000E+03    0.000000E+00
3.550000E+03    0.000000E+00
3.650000E+03    0.000000E+00
3.750000E+03    0.000000E+00
3.850000E+03    0.000000E+00
3.950000E+03    0.000000E+00
4.050000E+03    2.900000E-23
4.150000E+03    4.000000E-23
4.250000E+03    6.800000E-23
4.350000E+03    1.300000E-22
4.450000E+03    1.700000E-22
4.550000E+03    3.600000E-22
4.650000E+03    4.100000E-22
4.750000E+03    7.100000E-22
4.850000E+03    8.300000E-22
4.950000E+03    1.200000E-21
5.050000E+03    1.600000E-21
5.150000E+03    1.800000E-21
5.250000E+03    2.600000E-21
5.350000E+03    2.900000E-21
5.450000E+03    3.200000E-21
5.550000E+03    3.900000E-21
5.650000E+03    4.700000E-21
5.750000E+03    4.600000E-21
5.850000E+03    4.400000E-21
5.950000E+03    4.900000E-21
6.050000E+03    4.500000E-21
6.150000E+03    3.900000E-21
6.250000E+03    3.400000E-21
6.350000E+03    2.700000E-21
6.450000E+03    2.400000E-21
6.550000E+03    2.000000E-21
6.650000E+03    1.700000E-21
6.750000E+03    1.400000E-21
6.850000E+03    1.100000E-21
6.950000E+03    9.200000E-22
7.050000E+03    7.700000E-22
7.150000E+03    6.300000E-22
7.250000E+03    5.300000E-22
7.350000E+03    4.500000E-22
7.450000E+03    3.800000E-22
7.550000E+03    3.000000E-22
7.650000E+03    2.700000E-22
7.750000E+03    2.900000E-22
7.850000E+03    2.200000E-22
7.950000E+03    1.600000E-22
8.050000E+03    1.900000E-22
8.150000E+03    1.700000E-22
8.250000E+03    1.400000E-22
8.350000E+03    1.400000E-22
8.450000E+03    1.500000E-22
