S2 Stark et al. 2018, 370 K 
Air:  
Temp:           
Angstroms       XS
2.409636E+03    4.073340E-18
2.409642E+03    4.014758E-18
2.409647E+03    4.161982E-18
2.409652E+03    4.580687E-18
2.409657E+03    5.242801E-18
2.409663E+03    6.026502E-18
2.409668E+03    6.756289E-18
2.409673E+03    7.273846E-18
2.409678E+03    7.508413E-18
2.409683E+03    7.505633E-18
2.409689E+03    7.393830E-18
2.409694E+03    7.307178E-18
2.409699E+03    7.310617E-18
2.409704E+03    7.365803E-18
2.409709E+03    7.354964E-18
2.409715E+03    7.151733E-18
2.409720E+03    6.702073E-18
2.409725E+03    6.065546E-18
2.409730E+03    5.388930E-18
2.409736E+03    4.828893E-18
2.409741E+03    4.471505E-18
2.409746E+03    4.292256E-18
2.409751E+03    4.176512E-18
2.409756E+03    3.993148E-18
2.409762E+03    3.686072E-18
2.409767E+03    3.329781E-18
2.409772E+03    3.111151E-18
2.409777E+03    3.246377E-18
2.409783E+03    3.877299E-18
2.409788E+03    4.993122E-18
2.409793E+03    6.404233E-18
2.409798E+03    7.784790E-18
2.409803E+03    8.784402E-18
2.409809E+03    9.172136E-18
2.409814E+03    8.931615E-18
2.409819E+03    8.241193E-18
2.409824E+03    7.359059E-18
2.409829E+03    6.499825E-18
2.409835E+03    5.773207E-18
2.409840E+03    5.197471E-18
2.409845E+03    4.757182E-18
2.409850E+03    4.459648E-18
2.409856E+03    4.352279E-18
2.409861E+03    4.491382E-18
2.409866E+03    4.884155E-18
2.409871E+03    5.443118E-18
2.409876E+03    5.989185E-18
2.409882E+03    6.317305E-18
2.409887E+03    6.300744E-18
2.409892E+03    5.970327E-18
2.409897E+03    5.507125E-18
2.409903E+03    5.146017E-18
2.409908E+03    5.048808E-18
2.409913E+03    5.216047E-18
2.409918E+03    5.479310E-18
2.409923E+03    5.585085E-18
2.409929E+03    5.341746E-18
2.409934E+03    4.750697E-18
2.409939E+03    4.029527E-18
2.409944E+03    3.507702E-18
2.409950E+03    3.464999E-18
2.409955E+03    4.001164E-18
2.409960E+03    4.984197E-18
2.409965E+03    6.094442E-18
2.409970E+03    6.963116E-18
2.409976E+03    7.358536E-18
2.409981E+03    7.309732E-18
2.409986E+03    7.070238E-18
2.409991E+03    6.945358E-18
2.409997E+03    7.102496E-18
2.410002E+03    7.469224E-18
2.410007E+03    7.763868E-18
2.410012E+03    7.655112E-18
2.410017E+03    6.980329E-18
2.410023E+03    5.880614E-18
2.410028E+03    4.745216E-18
2.410033E+03    4.010597E-18
2.410038E+03    3.952683E-18
2.410043E+03    4.565409E-18
2.410049E+03    5.552156E-18
2.410054E+03    6.439736E-18
2.410059E+03    6.804825E-18
2.410064E+03    6.514125E-18
2.410070E+03    5.805625E-18
2.410075E+03    5.139345E-18
2.410080E+03    4.937302E-18
2.410085E+03    5.376785E-18
2.410090E+03    6.309401E-18
