S2XS Stark et al. 2018, 370 K 
Air:  
Temp:           
Angstroms       XS
2.409636E+03    1.000000E+00
2.409642E+03    1.000000E+00
2.409647E+03    1.000000E+00
2.409652E+03    1.000000E+00
2.409657E+03    1.000000E+00
2.409663E+03    1.000000E+00
2.409668E+03    1.000000E+00
2.409673E+03    1.000000E+00
2.409678E+03    1.000000E+00
2.409683E+03    1.000000E+00
2.409689E+03    1.000000E+00
2.409694E+03    1.000000E+00
2.409699E+03    1.000000E+00
2.409704E+03    1.000000E+00
2.409709E+03    1.000000E+00
2.409715E+03    1.000000E+00
2.409720E+03    1.000000E+00
2.409725E+03    1.000000E+00
2.409730E+03    1.000000E+00
2.409736E+03    1.000000E+00
2.409741E+03    1.000000E+00
2.409746E+03    1.000000E+00
2.409751E+03    1.000000E+00
2.409756E+03    1.000000E+00
2.409762E+03    1.000000E+00
2.409767E+03    1.000000E+00
2.409772E+03    1.000000E+00
2.409777E+03    1.000000E+00
2.409783E+03    1.000000E+00
2.409788E+03    1.000000E+00
2.409793E+03    1.000000E+00
2.409798E+03    1.000000E+00
2.409803E+03    1.000000E+00
2.409809E+03    1.000000E+00
2.409814E+03    1.000000E+00
2.409819E+03    1.000000E+00
2.409824E+03    1.000000E+00
2.409829E+03    1.000000E+00
2.409835E+03    1.000000E+00
2.409840E+03    1.000000E+00
2.409845E+03    1.000000E+00
2.409850E+03    1.000000E+00
2.409856E+03    1.000000E+00
2.409861E+03    1.000000E+00
2.409866E+03    1.000000E+00
2.409871E+03    1.000000E+00
2.409876E+03    1.000000E+00
2.409882E+03    1.000000E+00
2.409887E+03    1.000000E+00
2.409892E+03    1.000000E+00
2.409897E+03    1.000000E+00
2.409903E+03    1.000000E+00
2.409908E+03    1.000000E+00
2.409913E+03    1.000000E+00
2.409918E+03    1.000000E+00
2.409923E+03    1.000000E+00
2.409929E+03    1.000000E+00
2.409934E+03    1.000000E+00
2.409939E+03    1.000000E+00
2.409944E+03    1.000000E+00
2.409950E+03    1.000000E+00
2.409955E+03    1.000000E+00
2.409960E+03    1.000000E+00
2.409965E+03    1.000000E+00
2.409970E+03    1.000000E+00
2.409976E+03    1.000000E+00
2.409981E+03    1.000000E+00
2.409986E+03    1.000000E+00
2.409991E+03    1.000000E+00
2.409997E+03    1.000000E+00
2.410002E+03    1.000000E+00
2.410007E+03    1.000000E+00
2.410012E+03    1.000000E+00
2.410017E+03    1.000000E+00
2.410023E+03    1.000000E+00
2.410028E+03    1.000000E+00
2.410033E+03    1.000000E+00
2.410038E+03    1.000000E+00
2.410043E+03    1.000000E+00
2.410049E+03    1.000000E+00
2.410054E+03    1.000000E+00
2.410059E+03    1.000000E+00
2.410064E+03    1.000000E+00
2.410070E+03    1.000000E+00
2.410075E+03    1.000000E+00
2.410080E+03    1.000000E+00
2.410085E+03    1.000000E+00
2.410090E+03    1.000000E+00
2.410096E+03    1.000000E+00
2.410101E+03    1.000000E+00
2.410106E+03    1.000000E+00
2.410111E+03    1.000000E+00
2.410117E+03    1.000000E+00
2.410122E+03    1.000000E+00
2.410127E+03    1.000000E+00
2.410132E+03    1.000000E+00
2.410137E+03    1.000000E+00
2.410143E+03    1.000000E+00
2.410148E+03    1.000000E+00
2.410153E+03    1.000000E+00
2.410158E+03    1.000000E+00
2.410164E+03    1.000000E+00
2.410169E+03    1.000000E+00
2.410174E+03    1.000000E+00
2.410179E+03    1.000000E+00
2.410184E+03    1.000000E+00
2.410190E+03    1.000000E+00
2.410195E+03    1.000000E+00
2.410200E+03    1.000000E+00
2.410205E+03    1.000000E+00
2.410211E+03    1.000000E+00
2.410216E+03    1.000000E+00
2.410221E+03    1.000000E+00
2.410226E+03    1.000000E+00
2.410231E+03    1.000000E+00
