SO_zahnle.abs
Air:  
Temp: 
Angstroms       XS
1.216000E+03    1.000000E-18
1.300000E+03    1.000000E-18
1.350000E+03    1.000000E-18
1.400000E+03    1.000000E-18
1.450000E+03    1.000000E-18
1.500000E+03    1.000000E-18
1.550000E+03    1.000000E-18
1.600000E+03    1.000000E-18
1.650000E+03    1.000000E-18
1.700000E+03    1.000000E-18
1.754000E+03    1.000000E-18
1.770000E+03    1.000000E-18
1.786000E+03    1.000000E-18
1.802000E+03    1.000000E-18
1.818000E+03    1.000000E-18
1.835000E+03    1.000000E-18
1.852000E+03    2.260000E-18
1.869000E+03    4.360000E-18
1.887000E+03    6.520000E-18
1.905000E+03    8.680000E-18
1.923000E+03    1.090000E-17
1.942000E+03    1.303000E-17
1.961000E+03    1.341000E-17
1.980000E+03    1.380000E-17
2.000000E+03    1.320000E-17
2.020000E+03    1.156000E-17
2.041000E+03    9.976000E-18
2.062000E+03    9.640000E-18
2.083000E+03    9.296000E-18
2.105000E+03    7.880000E-18
2.128000E+03    6.040000E-18
2.151000E+03    4.450000E-18
2.174000E+03    2.980000E-18
2.200000E+03    1.929000E-18
2.222000E+03    1.351000E-18
2.247000E+03    8.400000E-19
2.273000E+03    5.020000E-19
2.299000E+03    2.400000E-19
2.326000E+03    6.720000E-20
2.353000E+03    0.000000E+00
2.381000E+03    0.000000E+00
2.410000E+03    0.000000E+00
2.439000E+03    0.000000E+00
2.469000E+03    0.000000E+00
2.500000E+03    0.000000E+00
2.532000E+03    0.000000E+00
2.564000E+03    0.000000E+00
2.597000E+03    0.000000E+00
2.632000E+03    0.000000E+00
2.667000E+03    0.000000E+00
2.703000E+03    0.000000E+00
2.740000E+03    0.000000E+00
2.778000E+03    0.000000E+00
2.817000E+03    0.000000E+00
2.857000E+03    0.000000E+00
2.899000E+03    0.000000E+00
2.941000E+03    0.000000E+00
2.985000E+03    0.000000E+00
3.030000E+03    0.000000E+00
3.077000E+03    0.000000E+00
3.125000E+03    0.000000E+00
3.175000E+03    0.000000E+00
3.225000E+03    0.000000E+00
3.275000E+03    0.000000E+00
3.325000E+03    0.000000E+00
3.375000E+03    0.000000E+00
3.425000E+03    0.000000E+00
3.450000E+03    0.000000E+00
3.550000E+03    0.000000E+00
3.650000E+03    0.000000E+00
3.750000E+03    0.000000E+00
3.850000E+03    0.000000E+00
3.950000E+03    0.000000E+00
4.050000E+03    0.000000E+00
4.150000E+03    0.000000E+00
4.250000E+03    0.000000E+00
4.350000E+03    0.000000E+00
4.450000E+03    0.000000E+00
