SO2_SO21
Air:    
Temp:    
Angstroms       QY
1.216000E+03    0.000000E+00
1.300000E+03    0.000000E+00
1.350000E+03    0.000000E+00
1.400000E+03    0.000000E+00
1.450000E+03    0.000000E+00
1.500000E+03    0.000000E+00
1.550000E+03    0.000000E+00
1.600000E+03    0.000000E+00
1.650000E+03    0.000000E+00
1.700000E+03    0.000000E+00
1.754000E+03    0.000000E+00
1.770000E+03    0.000000E+00
1.786000E+03    0.000000E+00
1.802000E+03    0.000000E+00
1.818000E+03    0.000000E+00
1.835000E+03    0.000000E+00
1.852000E+03    0.000000E+00
1.869000E+03    0.000000E+00
1.887000E+03    0.000000E+00
1.905000E+03    6.930000E-19
1.923000E+03    1.659000E-18
1.942000E+03    3.800000E-18
1.961000E+03    7.132000E-18
1.980000E+03    7.004000E-18
2.000000E+03    2.952000E-18
2.020000E+03    2.440000E-19
2.041000E+03    1.504000E-19
2.062000E+03    8.050000E-20
2.083000E+03    3.838000E-20
2.105000E+03    2.336000E-20
2.128000E+03    2.564000E-20
2.151000E+03    3.139000E-20
2.174000E+03    3.908000E-20
2.200000E+03    5.494000E-20
2.222000E+03    9.404000E-20
2.247000E+03    1.561000E-19
2.273000E+03    2.149000E-19
2.299000E+03    2.761000E-19
2.326000E+03    3.391000E-19
2.353000E+03    4.310000E-19
2.381000E+03    5.216000E-19
2.410000E+03    6.170000E-19
2.439000E+03    7.325000E-19
2.469000E+03    7.770000E-19
2.500000E+03    7.788000E-19
2.532000E+03    7.140000E-19
2.564000E+03    5.832000E-19
2.597000E+03    4.410000E-19
2.632000E+03    3.844000E-19
2.667000E+03    3.068000E-19
2.703000E+03    1.500000E-19
2.740000E+03    4.000000E-20
2.778000E+03    1.200000E-20
2.817000E+03    4.000000E-21
2.857000E+03    0.000000E+00
2.899000E+03    0.000000E+00
2.941000E+03    0.000000E+00
2.985000E+03    0.000000E+00
3.030000E+03    0.000000E+00
3.077000E+03    0.000000E+00
3.125000E+03    0.000000E+00
3.175000E+03    0.000000E+00
3.225000E+03    0.000000E+00
3.275000E+03    0.000000E+00
3.325000E+03    0.000000E+00
3.375000E+03    0.000000E+00
3.425000E+03    0.000000E+00
3.450000E+03    0.000000E+00
3.550000E+03    0.000000E+00
3.650000E+03    0.000000E+00
3.750000E+03    0.000000E+00
3.850000E+03    0.000000E+00
3.950000E+03    0.000000E+00
4.050000E+03    0.000000E+00
4.150000E+03    0.000000E+00
4.250000E+03    0.000000E+00
4.350000E+03    0.000000E+00
4.450000E+03    0.000000E+00
