 (nm)        32SO2           33SO2            34SO2            Error 32SO2      Error 33SO2      Error 34SO2
183.0025    1.2785409E-18    2.3796525E-18    2.2839837E-18    7.9947731E-18    1.4671691E-18    3.2811615E-18
183.2612    6.6442534E-19    1.4310449E-18    1.6060856E-18    4.3805508E-18    7.4503111E-19    5.4514745E-18
183.2871    1.1574694E-18    1.3176431E-18    2.2538623E-18    5.2829013E-18    1.2275807E-18    5.1368578E-18
183.3131    1.2215304E-18    1.2390133E-18    2.5202656E-18    5.9695403E-18    1.7874065E-18    3.5463177E-18
183.3390    1.2825734E-18    1.2663395E-18    2.2428131E-18    7.3382698E-18    2.0798462E-18    2.6357716E-18
183.3649    1.6054995E-18    1.3864033E-18    1.7154936E-18    1.0529596E-17    1.9810239E-18    2.4508072E-18
183.3909    2.1041667E-18    1.5732840E-18    1.3967913E-18    8.6408097E-18    1.6001725E-18    2.7812154E-18
183.4168    2.3830077E-18    1.8249949E-18    1.4849264E-18    8.2759133E-18    1.2359009E-18    3.7434045E-18
183.4428    2.2093877E-18    2.0263987E-18    1.8512505E-18    7.8635273E-18    1.0997656E-18    4.7319650E-18
183.4687    1.9128353E-18    2.0207025E-18    2.1408788E-18    6.2919872E-18    8.7094013E-19    4.5489135E-18
183.4947    2.2792360E-18    1.8476634E-18    2.0259865E-18    4.8107484E-18    8.1649437E-19    4.8459803E-18
183.5207    3.2481306E-18    1.6673737E-18    1.5906788E-18    2.9774025E-18    1.5332076E-18    6.0599745E-18
183.5467    3.6088396E-18    1.6140512E-18    1.2133914E-18    2.0865776E-18    2.0738968E-18    6.0495445E-18
183.5727    3.6539853E-18    1.6205100E-18    9.9742532E-19    1.5216985E-18    1.6454770E-18    4.5781468E-18
183.5987    3.1899166E-18    1.5453521E-18    9.1591279E-19    3.0764923E-18    1.0735342E-18    3.5549288E-18
183.6247    2.1180370E-18    1.4096205E-18    8.8602395E-19    5.1343567E-18    1.5133120E-18    3.4097002E-18
183.6507    9.3283019E-19    1.3602518E-18    8.9367940E-19    5.6689810E-18    3.2668962E-18    3.3381503E-18
183.6767    5.2292798E-19    1.4822526E-18    9.5315974E-19    5.2348844E-18    5.1766083E-18    2.2704401E-18
183.7028    1.1544970E-18    1.6655788E-18    1.0901514E-18    4.2069692E-18    4.1878241E-18    3.0407974E-18
183.7288    2.4395769E-18    1.7274825E-18    1.3136314E-18    3.8727582E-18    2.2737545E-18    3.8639505E-18
183.7548    3.7348111E-18    1.6533923E-18    1.5580740E-18    3.0499154E-18    1.3322036E-18    2.9631811E-18
183.7809    4.4584193E-18    1.5649670E-18    1.6918554E-18    2.3355768E-18    1.1906059E-18    2.7399845E-18
183.8070    4.3865045E-18    1.5627573E-18    1.6669557E-18    4.7058276E-18    8.7349009E-19    2.5473609E-18
183.8330    3.6436785E-18    1.6924945E-18    1.6063592E-18    2.9298117E-18    7.7395749E-19    2.1288369E-18
183.8591    2.4711354E-18    1.8958627E-18    1.6749205E-18    3.5769249E-18    1.4193790E-18    2.5655626E-18
183.8852    1.3506306E-18    2.0578107E-18    1.9145202E-18    2.6884639E-18    1.8689415E-18    3.5093555E-18
183.9113    8.3287140E-19    2.1928842E-18    2.1852532E-18    1.4044571E-18    1.8024798E-18    4.3219826E-18
183.9374    1.2034164E-18    2.4027261E-18    2.2876092E-18    2.7644744E-18    1.2030249E-18    4.5725325E-18
183.9635    2.1109955E-18    2.6723542E-18    2.2093477E-18    3.8313272E-18    1.0276793E-18    4.2286779E-18
183.9896    2.8913493E-18    2.7958836E-18    2.1748539E-18    7.1373280E-18    1.4470318E-18    3.8231984E-18
184.0157    3.1714937E-18    2.6674793E-18    2.4016796E-18    1.0670094E-17    1.8349240E-18    4.2345636E-18
184.0418    3.1333853E-18    2.4295183E-18    2.7770948E-18    8.7037348E-18    2.1155857E-18    5.1571250E-18
184.0680    3.1416773E-18    2.3119337E-18    2.9284219E-18    8.0672154E-18    1.9096412E-18    5.1525827E-18
184.0941    3.3723668E-18    2.4149068E-18    2.6546557E-18    7.0054645E-18    1.2378452E-18    5.0871484E-18
184.1203    3.6910320E-18    2.6100647E-18    2.2329180E-18    5.2270111E-18    1.0403843E-18    5.7617637E-18
184.1464    3.7729658E-18    2.6807115E-18    2.1658927E-18    4.8496245E-18    1.3069098E-18    6.6213468E-18
184.1726    3.4602980E-18    2.5815821E-18    2.6607009E-18    5.1271734E-18    1.4432730E-18    6.4944813E-18
184.1988    2.9463466E-18    2.4417766E-18    3.4209960E-18    4.8338427E-18    1.6251914E-18    4.8056566E-18
184.2249    2.5444621E-18    2.3825780E-18    3.8638402E-18    5.9731823E-18    1.5705843E-18    3.3341126E-18
184.2511    2.4367172E-18    2.3757851E-18    3.6397000E-18    8.2926191E-18    1.4534646E-18    2.6073841E-18
184.2773    2.5348414E-18    2.3048430E-18    3.0305791E-18    8.9154306E-18    1.8018426E-18    3.0320220E-18
184.3035    2.5743664E-18    2.1689227E-18    2.6229111E-18    8.0618983E-18    2.0490302E-18    3.2408346E-18
184.3297    2.3490006E-18    2.1160877E-18    2.6936842E-18    6.8475041E-18    1.8483402E-18    3.1655072E-18
184.3559    1.9475506E-18    2.2033296E-18    3.0365531E-18    5.9556601E-18    1.6512534E-18    3.6181387E-18
184.3822    1.6433308E-18    2.3106333E-18    3.2941012E-18    6.4598899E-18    1.6610439E-18    3.9373658E-18
184.4084    1.6384536E-18    2.2850301E-18    3.3188405E-18    5.7986026E-18    1.6280342E-18    3.8558482E-18
184.4346    1.7847647E-18    2.0799787E-18    3.2219542E-18    4.9185368E-18    1.3211625E-18    3.9927662E-18
184.4609    1.7221350E-18    1.7482606E-18    3.1546413E-18    3.7324978E-18    1.3715469E-18    4.9118346E-18
184.4871    1.3330291E-18    1.3831597E-18    3.0679155E-18    2.8477065E-18    1.9050100E-18    5.3732341E-18
184.5134    8.7191081E-19    1.0583331E-18    2.7956428E-18    3.1157022E-18    2.3745895E-18    5.1700652E-18
184.5397    7.2889486E-19    8.0456861E-19    2.3194774E-18    3.6642319E-18    2.4437491E-18    4.5917750E-18
184.5659    1.0794943E-18    6.2481460E-19    1.7562798E-18    4.7766979E-18    2.1477552E-18    3.9163643E-18
184.5922    1.7971695E-18    5.1736020E-19    1.2119545E-18    6.7916377E-18    1.7322125E-18    3.2762925E-18
184.6185    2.7057002E-18    5.0388557E-19    7.4320938E-19    9.2993573E-18    1.3547370E-18    2.9449034E-18
184.6448    3.6413900E-18    6.3725587E-19    4.0291600E-19    1.0081448E-17    1.0553244E-18    3.3461685E-18
184.6711    4.1784706E-18    9.3178410E-19    2.5992424E-19    7.5249797E-18    9.2309923E-19    4.2556585E-18
184.6974    3.9220277E-18    1.3096686E-18    3.1190079E-19    6.7368193E-18    9.8078501E-19    4.8249540E-18
184.7238    3.2628626E-18    1.6379735E-18    4.2642133E-19    7.1667497E-18    1.0528686E-18    4.3962294E-18
184.7501    2.7860641E-18    1.8615093E-18    4.8988416E-19    7.3119992E-18    1.1341769E-18    3.0028968E-18
184.7764    2.6748516E-18    2.0568917E-18    4.8430598E-19    7.1149552E-18    1.3717064E-18    1.8984664E-18
184.8028    2.9433076E-18    2.3205633E-18    4.5580691E-19    7.1083762E-18    1.6797055E-18    2.2984207E-18
184.8291    3.4595898E-18    2.6531282E-18    4.6957424E-19    7.1926725E-18    1.6934981E-18    3.2897080E-18
184.8555    3.8333736E-18    3.0010450E-18    5.7009927E-19    5.7254282E-18    1.4870213E-18    3.3648096E-18
184.8818    3.7964890E-18    3.3676885E-18    7.9242015E-19    5.2563322E-18    1.2857941E-18    2.2346289E-18
184.9082    3.4682380E-18    3.7108058E-18    1.1460767E-18    5.5905348E-18    1.0966969E-18    1.2710946E-18
184.9346    3.1140310E-18    3.9094686E-18    1.5414248E-18    4.4742273E-18    9.2837299E-19    1.3536964E-18
184.9610    2.9693222E-18    3.8767667E-18    1.8349341E-18    3.7020627E-18    7.8728744E-19    1.4433147E-18
184.9874    3.1536784E-18    3.6312266E-18    2.0087238E-18    5.6756890E-18    8.3737039E-19    1.9700777E-18
185.0138    3.5608948E-18    3.3055385E-18    2.2016970E-18    6.0491662E-18    9.5531972E-19    3.0820050E-18
185.0402    3.9819220E-18    3.0077920E-18    2.5048723E-18    5.2321722E-18    9.7044184E-19    3.7655089E-18
185.0666    4.2957456E-18    2.8148865E-18    2.8618326E-18    5.2890903E-18    1.0000743E-18    3.9099418E-18
185.0931    4.4624520E-18    2.7311037E-18    3.2100445E-18    5.4606984E-18    9.6000513E-19    3.8667565E-18
185.1195    4.5248747E-18    2.6964968E-18    3.5835380E-18    4.3581618E-18    8.0673073E-19    3.9183607E-18
185.1459    4.5974408E-18    2.7165856E-18    3.9965039E-18    3.0893459E-18    7.7823630E-19    4.0222229E-18
185.1724    4.7627139E-18    2.8411433E-18    4.2989062E-18    2.7361266E-18    8.5668563E-19    3.9274655E-18
185.1988    4.9168262E-18    3.0191322E-18    4.3051411E-18    3.3152741E-18    8.6981230E-19    3.2465534E-18
185.2253    4.7351415E-18    3.0948194E-18    4.0517799E-18    3.6298842E-18    1.0728421E-18    2.3984618E-18
185.2518    4.1472483E-18    2.9801203E-18    3.7647020E-18    3.0565408E-18    1.3494829E-18    1.7638748E-18
185.2782    3.4518563E-18    2.7641895E-18    3.6033510E-18    2.0981880E-18    1.2469171E-18    1.3014499E-18
185.3047    2.9554595E-18    2.5849733E-18    3.5182184E-18    1.7500794E-18    1.0303550E-18    1.0410459E-18
185.3312    2.7496896E-18    2.4972072E-18    3.3768194E-18    1.7384438E-18    1.0746116E-18    1.1744670E-18
185.3577    2.7378039E-18    2.4810913E-18    3.1302876E-18    2.0432755E-18    1.2167378E-18    1.4997120E-18
185.3842    2.8340810E-18    2.5015425E-18    2.8231832E-18    2.4546107E-18    1.0686378E-18    1.4771322E-18
185.4108    2.9818667E-18    2.5140101E-18    2.5606078E-18    2.8848003E-18    1.0145762E-18    1.3469560E-18
185.4373    3.1069515E-18    2.4833052E-18    2.5033902E-18    3.4659610E-18    1.2438039E-18    1.8255376E-18
185.4638    3.1516711E-18    2.4210359E-18    2.7842947E-18    3.6464618E-18    1.5039852E-18    2.4818228E-18
185.4904    3.0993406E-18    2.3567697E-18    3.3382447E-18    2.9590101E-18    1.7389057E-18    2.8156092E-18
185.5169    2.9456743E-18    2.3409900E-18    3.8707962E-18    2.2162182E-18    1.8175432E-18    2.7652032E-18
185.5435    2.7073264E-18    2.4198404E-18    4.1084597E-18    2.0665852E-18    1.6571430E-18    2.5963819E-18
