  Int#    Range (A)      Flux       Ozone1     Ozone2     CH3CHO     CH3COCH3
=============================================================================
    1   1754.0-1770.0   1.74E+11    8.1E-19    8.1E-19    7.6E-21    3.8E-21
    2   1770.0-1786.0   2.10E+11    8.0E-19    8.0E-19    7.6E-21    3.8E-21
    3   1786.0-1802.0   2.38E+11    7.9E-19    7.9E-19    7.6E-21    3.8E-21
    4   1802.0-1818.0   3.04E+11    7.6E-19    7.6E-19    7.6E-21    3.8E-21
    5   1818.0-1835.0   3.19E+11    7.3E-19    7.3E-19    7.6E-21    3.8E-21
    6   1835.0-1852.0   2.93E+11    6.9E-19    6.9E-19    7.6E-21    3.8E-21
    7   1852.0-1869.0   3.62E+11    6.4E-19    6.4E-19    7.6E-21    3.8E-21
    8   1869.0-1887.0   4.73E+11    5.9E-19    5.9E-19    7.6E-21    3.8E-21
    9   1887.0-1905.0   5.61E+11    5.3E-19    5.3E-19    7.6E-21    3.8E-21
   10   1905.0-1923.0   6.63E+11    4.8E-19    4.8E-19    7.6E-21    3.8E-21
   11   1923.0-1942.0   6.90E+11    4.4E-19    4.4E-19    7.6E-21    3.8E-21
   12   1942.0-1961.0   9.56E+11    4.1E-19    4.1E-19    7.6E-21    3.8E-21
   13   1961.0-1980.0   1.15E+12    3.7E-19    3.7E-19    7.6E-21    3.8E-21
   14   1980.0-2000.0   1.27E+12    3.3E-19    3.3E-19    7.6E-21    3.8E-21
   15   2000.0-2020.0   1.52E+12    3.3E-19    3.3E-19    7.6E-21    3.8E-21
   16   2020.0-2041.0   1.78E+12    3.3E-19    3.3E-19    7.6E-21    3.8E-21
   17   2041.0-2062.0   2.20E+12    3.5E-19    3.5E-19    6.4E-21    2.8E-21
   18   2062.0-2083.0   2.69E+12    4.1E-19    4.1E-19    5.4E-21    2.1E-21
   19   2083.0-2105.0   4.54E+12    4.8E-19    4.8E-19    4.5E-21    1.9E-21
   20   2105.0-2128.0   7.14E+12    6.3E-19    6.3E-19    3.7E-21    1.9E-21
   21   2128.0-2151.0   8.35E+12    8.6E-19    8.6E-19    2.5E-21    1.9E-21
   22   2151.0-2174.0   8.39E+12    1.2E-18    1.2E-18    1.0E-21    1.9E-21
   23   2174.0-2200.0   1.08E+13    1.5E-18    1.5E-18    3.8E-22    2.4E-21
   24   2200.0-2222.0   1.18E+13    2.0E-18    2.0E-18    3.8E-22    3.1E-21
   25   2222.0-2247.0   1.60E+13    2.6E-18    2.6E-18    3.8E-22    3.9E-21
   26   2247.0-2273.0   1.34E+13    3.2E-18    3.2E-18    3.8E-22    5.0E-21
   27   2273.0-2299.0   1.41E+13    4.0E-18    4.0E-18    6.2E-22    6.3E-21
   28   2299.0-2326.0   1.57E+13    4.8E-18    4.8E-18    1.2E-21    7.6E-21
   29   2326.0-2353.0   1.38E+13    5.8E-18    5.8E-18    2.0E-21    9.5E-21
   30   2353.0-2381.0   1.60E+13    6.9E-18    6.9E-18    2.8E-21    1.2E-20
   31   2381.0-2410.0   1.45E+13    8.0E-18    8.0E-18    4.0E-21    1.4E-20
   32   2410.0-2439.0   2.20E+13    9.0E-18    9.0E-18    5.6E-21    1.7E-20
   33   2439.0-2469.0   1.99E+13    1.0E-17    1.0E-17    7.4E-21    2.1E-20
   34   2469.0-2500.0   1.97E+13    1.1E-17    1.1E-17    1.0E-20    2.4E-20
   35   2500.0-2532.0   1.94E+13    1.1E-17    1.1E-17    1.3E-20    2.8E-20
   36   2532.0-2564.0   2.91E+13    1.2E-17    1.2E-17    1.6E-20    3.2E-20
   37   2564.0-2597.0   4.95E+13    1.1E-17    1.1E-17    2.0E-20    3.6E-20
   38   2597.0-2632.0   4.53E+13    1.1E-17    1.1E-17    2.4E-20    4.1E-20
   39   2632.0-2667.0   1.07E+14    9.6E-18    9.7E-18    2.9E-20    4.4E-20
   40   2667.0-2703.0   1.20E+14    8.3E-18    8.3E-18    3.3E-20    4.8E-20
   41   2703.0-2740.0   1.10E+14    6.9E-18    6.9E-18    3.8E-20    5.0E-20
   42   2740.0-2778.0   1.04E+14    5.4E-18    5.4E-18    4.2E-20    5.2E-20
   43   2778.0-2817.0   8.24E+13    3.9E-18    4.0E-18    4.5E-20    5.2E-20
   44   2817.0-2857.0   1.52E+14    2.7E-18    2.8E-18    4.8E-20    5.0E-20
   45   2857.0-2899.0   2.15E+14    1.7E-18    1.8E-18    4.9E-20    4.4E-20
   46   2899.0-2941.0   3.48E+14    1.0E-18    1.1E-18    4.9E-20    4.0E-20
   47   2941.0-2985.0   3.40E+14    5.9E-19    6.2E-19    4.5E-20    3.4E-20
   48   2985.0-3030.0   3.22E+14    3.2E-19    3.4E-19    4.1E-20    2.9E-20
   49   3030.0-3077.0   4.23E+14    1.7E-19    1.9E-19    3.6E-20    2.1E-20
   50   3077.0-3125.0   4.95E+14    8.7E-20    9.8E-20    3.0E-20    1.5E-20
   51   3125.0-3175.0   5.44E+14    4.3E-20    5.0E-20    2.4E-20    8.2E-21
