***** SPECIES DEFINITIONS ***** ! 
*
*define LL,SL,TD, etc here
*
*LBOUND = lower boundary conditions
* 0 = constant deposition velocity (VDEP)
* 1 = constant mixing ratio
* 2 = constant upward flux (SGFLUX)
* 3 = constant vdep + vertically distributed upward flux  (uses SGFLUX and DISTH)
*
*MBOUND - Upper boundary conditions
* 0 = CONSTANT EFFUSION VELOCITY (VEFF)  - (H and H2 set in code for molecular diffusion/diffusion limited flux)
* 1 = constant mixing ratio - never been used so needs testing
* 2 = CONSTANT FLUX (SMFLUX) (option for CO2/CO/0 in code)
*
*
*   LONG-LIVED O H C S N CL LBOUND  VDEP0   FIXEDMR SGFLUX    DISTH MBOUND SMFLUX  VEFF0  
O          LL  1 0 0 0 0 0    0     1.0E+00 0.      0.        0.      0      0.      0.   
O2         LL  2 0 0 0 0 0    1     0.      2.1E-01 0.        0.      0      0.      0.        
H2O        LL  1 2 0 0 0 0    0     0.      0.      0.        0.      0      0.      0.        
H          LL  0 1 0 0 0 0    0     1.0E+00 0.      0.        0.      0      0.      0.        
OH         LL  1 1 0 0 0 0    0     1.0E+00 0.      0.        0.      0      0.      0.        
HO2        LL  2 1 0 0 0 0    0     1.0E+00 0.      0.        0.      0      0.      0.        
H2O2       LL  2 2 0 0 0 0    0     2.0E-01 0.      0.        0.      0      0.      0.        
H2         LL  0 2 0 0 0 0    0     2.4E-04 5.3E-07 0.        0.      0      0.      0.       
CO         LL  1 0 1 0 0 0    2     3.0E-02 1.1E-07 3.70E+11  10.     0      0.      0.        ! vdep: Hauglustaine et al 1994; flux: Seinfeld & Pandis (2006)
HCO        LL  1 1 1 0 0 0    0     1.0E+00 0.      0.        0.      0      0.      0.        
H2CO       LL  1 2 1 0 0 0    0     2.0E-01 0.      0.        0.      0      0.      0.
CH3O       LL  1 3 1 0 0 0    0     0.      0.      0.        0.      0      0.      0.
CH2OH      LL  1 3 1 0 0 0    0     0.      0.      0.        0.      0      0.      0.
CH3O2      LL  2 3 1 0 0 0    0     0.      0.      0.        0.      0      0.      0.
CH3OOH     LL  2 4 1 0 0 0    0     0.      0.      0.        0.      0      0.      0.
CH4        LL  0 4 1 0 0 0    2     0.      1.8E-06 1.60E+11  0.      0      0.      0.        
CH3        LL  0 3 1 0 0 0    0     0.      0.      0.        0.      0      0.      0.        ! vdep: was 1.0 (ref?)
C2H6       LL  0 6 2 0 0 0    0     0.      0.      0.        0.      0      0.      0.        
NO         LL  1 0 0 0 1 0    2     1.6E-02 0.      1.000E+09 0.      0      0.      0.        ! vdep: Hauglustaine et al 1994 (was 3e-4 ??); flux: Seinfeld & Pandis (2006)
NO2        LL  2 0 0 0 1 0    0     3.0E-03 0.      0.        0.      0      0.      0.        
HNO        LL  1 1 0 0 1 0    0     1.0E+00 0.      0.        0.      0      0.      0.        
H2S        LL  0 2 0 1 0 0    2     2.0E-02 5.0E-12 2.000E+08 0.      0      0.      0.        ! flux: Seinfeld & Pandis (2006)
HS         LL  0 1 0 1 0 0    0     0.      0.      0.        0.      0      0.      0.        
S          LL  0 0 0 1 0 0    0     0.      0.      0.        0.      0      0.      0.        
SO         LL  1 0 0 1 0 0    0     0.      0.      0.        0.      0      0.      0.        
SO2        LL  2 0 0 1 0 0    3     1.0E+00 2.6E-10 9.000E+09 14.     0      0.      0.        ! vdep: Sehmel 1980; flux: Seinfeld & Pandis (2006) (9e9)
H2SO4      LL  4 2 0 1 0 0    2     1.0E+00 0.      7.000E+08 0.      0      0.      0.        ! flux: Seinfeld & Pandis (2006)
HSO        LL  1 1 0 1 0 0    0     1.0E+00 0.      0.        0.      0      0.      0.        
S2         LL  0 0 0 2 0 0    0     0.      0.      0.        0.      0      0.      0.        
S4         LL  0 0 0 4 0 0    0     0.      0.      0.        0.      0      0.      0.        
S8         LL  0 0 0 8 0 0    0     0.      0.      0.        0.      0      0.      0.        
SO3        LL  3 0 0 1 0 0    0     0.      0.      0.        0.      0      0.      0.        
OCS        LL  1 0 1 1 0 0    2     1.0E-02 5.1E-10 1.500E+07 0.      0      0.      0.        ! vdep: Hu et al (2012); flux: Seinfeld & Pandis (2006) / Kettle (2002); excludes OH sink (for obvious reasons)...
S3         LL  0 0 0 3 0 0    0     0.      0.      0.        0.      0      0.      0.        
O3         LL  3 0 0 0 0 0    0     0.0E-02 0.      0.        0.      0      0.      0.             !Makes little difference if smaller. see also Hardacre et al 2015
HNO3       LL  3 1 0 0 1 0    0     2.0E-01 0.      0.        0.      0      0.      0.        
N          LL  0 0 0 0 1 0    0     0.      0.      0.        0.      0      0.      0.           
NO3        LL  3 0 0 0 1 0    0     0.      0.      0.        0.      0      0.      0.        
N2O        LL  1 0 0 0 2 0    2     0.      3.0E-07 1.53E+09  0.      0      0.      0.             ! Seinfeld & Pandis (2006) / IPCC 2013
HO2NO2     LL  4 1 0 0 1 0    0     2.0E-01 0.      0.        0.      0      0.      0.        
N2O5       LL  5 0 0 0 2 0    0     0.      0.      0.        0.      0      0.      0.
NH         LL  0 1 0 0 1 0    0     0.      0.      0.        0.      0      0.      0.
NH2        LL  0 2 0 0 1 0    0     0.      0.      0.        0.      0      0.      0.
NH3        LL  0 3 0 0 1 0    0     0.      0.      1.50e+10  0.      0      0.      0.            ! Seinfeld & Pandis (2006)
CO2        LL  2 0 1 0 0 0    3     5.0E-05 4.0E-4  6.875E+08 14.     0      0.      0.
CS         LL  0 0 1 1 0 0    0     0.      0.      0.        0.      0      0.      0.
CS2        LL  0 0 1 2 0 0    2     0.      3.0E-11 2.000E+07 0.      0      0.      0.
HCS        LL  0 1 1 1 0 0    0     0.      0.      0.        0.      0      0.      0.
C2H6S      LL  0 6 2 1 0 0    2     0.      0.      3.300E+09 0.      0      0.      0.
C2H5S      LL  0 5 2 1 0 0    0     0.      0.      0.        0.      0      0.      0.
C2H5SO     LL  1 5 2 1 0 0    0     0.      0.      0.        0.      0      0.      0.
C2H5SO2    LL  2 5 2 1 0 0    0     0.      0.      0.        0.      0      0.      0.
CH3S       LL  0 3 1 1 0 0    0     0.      0.      0.        0.      0      0.      0.
CH3SO      LL  1 3 1 1 0 0    0     0.      0.      0.        0.      0      0.      0.
CH3SO2     LL  2 3 1 1 0 0    0     0.      0.      0.        0.      0      0.      0.
CH3SO3     LL  3 3 1 1 0 0    0     0.      0.      0.        0.      0      0.      0.
CH4SO2     LL  2 4 1 1 0 0    0     0.      0.      0.        0.      0      0.      0.
C2H6SO     LL  1 6 2 1 0 0    0     0.      0.      0.        0.      0      0.      0.
C2H7SO     LL  1 7 2 1 0 0    0     0.      0.      0.        0.      0      0.      0.
SO4AER     LL  4 2 0 1 0 0    0     1.0E-02 0.      0.        0.      0      0.      0.            !turbulent depostion velocity for particles (hardcoded for td)
S8AER      LL  0 0 0 8 0 0    0     1.0E-02 0.      0.        0.      0      0.      0.            !turbulent depostion velocity for particles     
* NQ should be the number above
*   TRIDIAGONAL SOLVER
*NQ1 should be the number directly above
*   SHORT-LIVED SPECIES
HNO2       SL  2 1 0 0 1 0
O1D        SL  1 0 0 0 0 0
CH21       SL  0 2 1 0 0 0
CH23       SL  0 2 1 0 0 0
C2H5       SL  0 5 2 0 0 0
SO21       SL  2 0 0 1 0 0
SO23       SL  2 0 0 1 0 0
HSO3       SL  3 1 0 1 0 0
OCS2       SL  1 0 1 2 0 0
CS2X       SL  0 0 1 2 0 0
CS2OH      SL  1 1 1 2 0 0
*   INERT SPECIES
N2         IN  0 0 0 0 2 0    0.78          !must be last IN  (FIXED MR NOT YET USED...)
* NSP should be the number directly above
HV         HV  0 0 0 0 0 0
M          M   0 0 0 0 0 0
