
 HC AEROSOL PARAMETERS

    Z        AERSOL     RPAR      RFRAC      WFALL     TAUSED    TAUEDD    TAUC      CONVER
  2.500E+04 1.603E-08 1.300E-07 1.300E-07 1.085E-06 7.600E+11 6.805E+06 1.614E+17 6.985E+01
  1.250E+05 1.748E-08 1.300E-07 1.300E-07 1.219E-06 6.600E+11 6.470E+06 1.499E+17 6.985E+01
  2.250E+05 2.263E-08 1.300E-07 1.300E-07 1.373E-06 5.698E+11 6.119E+06 1.174E+17 6.985E+01
  3.250E+05 3.025E-08 1.300E-07 1.300E-07 1.553E-06 4.886E+11 5.756E+06 8.922E+16 6.985E+01
  4.250E+05 3.949E-08 1.300E-07 1.300E-07 1.764E-06 4.158E+11 5.381E+06 6.949E+16 6.985E+01
  5.250E+05 5.000E-08 1.300E-07 1.300E-07 2.015E-06 3.508E+11 4.998E+06 5.591E+16 6.985E+01
  6.250E+05 6.155E-08 1.300E-07 1.300E-07 2.317E-06 2.931E+11 4.609E+06 4.634E+16 6.985E+01
  7.250E+05 7.394E-08 1.300E-07 1.300E-07 2.682E-06 2.421E+11 4.216E+06 3.944E+16 6.985E+01
  8.250E+05 8.696E-08 1.300E-07 1.300E-07 3.133E-06 1.973E+11 3.822E+06 3.437E+16 6.985E+01
  9.250E+05 1.001E-07 1.300E-07 1.300E-07 3.697E-06 1.584E+11 3.430E+06 3.067E+16 6.985E+01
  1.025E+06 1.157E-07 1.300E-07 1.300E-07 4.417E-06 1.249E+11 3.803E+06 2.734E+16 6.985E+01
  1.125E+06 1.494E-07 1.300E-07 1.300E-07 5.325E-06 1.003E+11 9.504E+06 2.153E+16 6.985E+01
  1.225E+06 2.416E-07 1.300E-07 1.300E-07 6.408E-06 8.333E+10 1.677E+07 1.331E+16 6.985E+01
  1.325E+06 4.188E-07 1.300E-07 1.300E-07 7.710E-06 6.925E+10 3.564E+07 7.678E+15 6.985E+01
  1.425E+06 7.289E-07 1.300E-07 1.300E-07 9.278E-06 5.755E+10 4.916E+07 4.412E+15 6.985E+01
  1.525E+06 1.092E-06 1.300E-07 1.300E-07 1.116E-05 4.783E+10 6.198E+07 2.945E+15 6.985E+01
  1.625E+06 1.492E-06 1.300E-07 1.300E-07 1.343E-05 3.975E+10 7.128E+07 2.156E+15 6.985E+01
  1.725E+06 1.871E-06 1.300E-07 1.300E-07 1.616E-05 3.304E+10 7.311E+07 1.719E+15 6.985E+01
  1.825E+06 2.192E-06 1.300E-07 1.300E-07 1.945E-05 2.746E+10 7.311E+07 1.467E+15 6.985E+01
  1.925E+06 2.444E-06 1.300E-07 1.300E-07 2.340E-05 2.282E+10 6.954E+07 1.316E+15 6.985E+01
  2.025E+06 2.602E-06 1.300E-07 1.300E-07 2.815E-05 1.897E+10 6.198E+07 1.236E+15 6.985E+01
